Data	PM10	0_4_Laringite	0_4_Pneumonia	0_4_Bronquite	0_4_Amigdalas	0_4_Asma	0_4_Outros	5_9_Laringite	5_9_Pneumonia	5_9_Amigdalas	5_9_Asma	10_19_Laringite	10_19_Pneumonia	10_19_Amigdalas	10_19_Asma	10_19_Outros	20_29_Laringite	20_29_Pneumonia	20_29_Asma	20_29_Outros	30_39_Laringite	30_39_Pneumonia	30_39_Asma	30_39_Bronquite	30_39_Outros	40_49_Laringite	40_49_Pneumonia	40_49_Asma	40_49_Bronquite	40_49_Outros	50_59_Pneumonia	50_59_Asma	50_59_Bronquite	50_59_Outros	60_Pneumonia	60_Bronquite	60_Asma	60_Outros
Jan-98	22.52	6	25	2	1	4	1	2	1	0	0	1	2	0	1	2	0	1	1	1	2	6	1	2	2	3	3	1	1	1	4	0	2	0	12	10	0	3
Feb-98	20.48	6	38	0	0	5	0	0	4	0	3	0	0	0	0	1	2	0	0	3	2	4	0	0	2	0	1	1	2	0	2	0	3	0	7	4	1	3
Mar-98	24.63	9	60	5	0	8	9	1	1	1	4	1	3	0	0	2	1	3	0	4	0	1	0	0	1	1	1	1	1	1	1	1	0	0	13	5	1	1
Apr-98	27.20	13	56	4	1	12	1	1	4	0	3	0	2	0	2	1	0	1	1	2	0	2	0	0	2	1	0	1	1	0	1	1	0	0	7	4	0	2
May-98	38.67	6	43	5	0	7	2	0	5	0	5	1	0	0	0	1	0	1	0	0	0	2	0	0	0	0	2	1	1	3	1	0	2	1	21	6	0	5
Jun-98	42.43	8	57	5	0	10	4	2	4	1	4	0	5	0	0	1	1	4	0	1	1	3	0	0	1	0	2	0	0	0	1	1	1	2	25	15	1	11
Jul-98	51.22	8	43	0	0	14	3	1	3	0	0	0	0	0	2	0	0	5	0	0	1	7	0	2	1	0	4	0	0	2	2	1	3	2	27	8	2	6
Aug-98	55.59	5	28	0	0	9	3	2	3	0	2	0	1	0	1	1	0	2	0	1	0	4	0	0	2	0	4	0	2	0	3	2	1	2	16	6	2	3
Sep-98	39.02	7	37	2	0	15	3	0	5	0	2	1	1	0	0	2	2	3	1	0	0	9	1	0	0	0	1	1	1	1	2	1	1	2	9	7	0	5
Oct-98	26.36	3	19	5	0	6	0	1	5	0	2	0	3	0	0	1	0	1	0	1	0	8	1	0	1	0	4	1	1	1	1	3	3	1	17	5	0	6
Nov-98	33.42	2	30	4	2	4	3	0	6	0	3	1	1	0	1	1	2	3	0	1	0	1	1	0	1	0	1	0	2	3	4	2	3	1	12	16	0	2
Dec-98	25.89	4	26	3	0	5	2	0	2	1	0	0	0	0	0	0	1	2	0	2	0	2	0	0	0	1	1	3	0	0	1	0	3	0	9	14	0	5
Jan-99	24.25	6	18	4	2	3	3	0	0	2	2	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	3	2	0	1	2	0	0	0	14	5	1	5
Feb-99	20.39	1	20	0	0	2	2	0	0	3	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0	1	0	1	1	2	2	3	0	11	1	1	5
Mar-99	19.72	2	30	1	3	11	1	0	1	5	1	0	2	0	1	0	0	1	1	0	0	5	0	1	2	0	4	0	1	2	3	1	2	0	13	4	0	5
Apr-99	38.03	6	45	5	2	4	3	1	4	1	2	0	4	0	0	0	0	2	1	1	0	2	1	0	0	1	4	2	1	5	2	1	1	1	14	9	0	6
May-99	45.68	8	62	6	0	9	5	3	7	0	4	0	2	0	2	0	1	2	3	1	0	3	0	0	1	1	6	1	0	2	3	0	3	1	27	5	0	3
Jun-99	37.70	5	44	5	0	13	3	1	8	2	1	0	4	0	0	0	1	2	0	0	1	3	0	0	0	0	3	1	3	2	4	1	1	1	26	9	1	6
Jul-99	44.79	5	64	4	0	19	2	0	4	0	3	0	2	0	0	0	1	3	0	3	0	3	1	0	0	1	5	1	1	3	5	1	0	1	24	9	0	12
Aug-99	69.08	7	43	1	1	17	5	0	1	1	3	0	2	0	3	0	0	4	1	1	1	4	1	0	2	0	2	1	4	1	3	1	1	3	12	9	0	6
Sep-99	62.46	7	38	4	1	19	2	0	11	1	2	0	3	0	0	0	1	3	0	2	2	2	1	1	2	0	4	0	1	0	1	1	0	2	12	4	0	2
Oct-99	42.61	3	23	0	0	9	0	2	4	0	3	0	3	0	1	0	0	2	1	3	0	0	0	2	2	0	1	1	1	3	5	1	2	1	13	4	0	6
Nov-99	36.64	6	26	4	0	9	3	0	3	0	2	0	3	0	1	1	1	10	1	5	1	0	0	0	0	0	3	0	0	0	1	0	2	1	13	5	1	5
Dec-99	28.75	1	19	3	0	12	1	0	1	0	3	0	1	0	0	0	0	3	0	3	3	1	0	0	2	0	5	0	1	1	2	1	2	1	25	5	0	3
Jan-00	23.09	1	1	0	2	1	2	0	0	1	0	0	1	0	0	1	1	6	0	3	0	0	0	0	1	0	6	0	0	0	2	2	0	1	16	12	1	7
Feb-00	26.06	8	31	5	0	8	3	4	3	0	4	0	1	0	2	0	0	1	0	1	1	0	2	0	0	0	6	0	0	1	2	0	1	0	15	10	2	12
Mar-00	25.07	7	42	8	0	20	5	3	7	1	5	1	1	0	2	0	1	5	0	1	1	1	0	0	1	0	6	3	0	0	2	0	0	0	13	6	2	9
Apr-00	37.47	4	45	10	1	12	0	1	7	3	2	0	2	0	0	0	0	4	1	4	0	0	2	1	2	1	2	2	0	2	2	0	0	0	12	10	1	6
May-00	41.30	8	60	8	0	10	3	2	9	3	4	0	3	0	2	0	0	1	0	2	0	2	0	0	1	0	6	0	0	0	0	0	0	0	16	1	0	8
Jun-00	48.49	12	36	1	1	16	4	2	7	3	1	0	0	0	0	0	0	2	1	0	0	4	0	0	2	1	3	2	0	2	5	2	0	0	13	7	1	12
Jul-00	45.73	5	23	4	2	20	1	0	1	1	2	0	2	0	0	1	2	7	2	4	0	3	2	2	1	0	3	2	2	0	3	1	3	1	17	2	1	6
Aug-00	39.95	8	29	1	0	7	3	1	7	0	1	0	2	0	2	1	0	5	1	3	2	4	0	1	3	0	2	2	0	1	2	0	1	0	25	8	0	8
Sep-00	38.57	5	31	5	1	14	1	2	2	1	2	0	4	0	0	1	1	5	0	0	0	9	1	0	0	0	6	1	1	1	4	1	0	1	17	7	1	3
Oct-00	35.93	8	24	2	1	11	4	3	6	5	4	0	4	0	1	0	2	3	1	1	0	6	1	0	1	0	2	1	0	2	2	1	0	0	14	2	0	5
Nov-00	24.42	3	21	4	0	9	0	1	1	4	1	0	4	0	1	0	1	0	1	2	1	6	0	0	0	0	1	0	0	0	4	1	0	3	18	9	1	6
Dec-00	22.19	12	29	3	3	7	0	3	3	2	3	0	2	0	1	2	1	3	2	3	3	4	0	0	0	0	4	1	0	0	3	0	2	0	25	7	1	6
Jan-01	21.45	5	15	0	1	6	0	0	2	3	0	0	1	0	0	1	0	2	0	4	0	8	3	0	1	0	4	0	1	1	6	1	2	1	18	11	1	2
Feb-01	20.98	2	18	1	0	5	2	0	4	0	0	1	3	0	0	0	0	1	0	3	0	2	2	0	0	0	2	1	2	2	6	1	1	0	8	6	0	7
Mar-01	25.89	4	20	2	2	8	1	0	2	0	1	0	2	0	1	2	0	4	0	4	0	1	0	1	1	0	2	2	2	0	4	1	0	1	7	7	1	7
Apr-01	34.40	5	29	4	2	16	4	0	2	4	4	0	0	0	1	2	0	2	0	1	0	3	1	1	1	0	2	1	3	0	2	0	0	1	11	8	1	2
May-01	33.04	8	53	1	4	31	1	2	5	3	2	1	3	0	2	2	1	1	0	4	0	1	0	0	1	0	3	0	2	1	2	0	1	0	18	9	1	6
Jun-01	44.32	3	39	2	1	17	3	0	8	1	5	0	4	0	0	0	0	1	0	3	0	2	0	0	1	0	2	1	1	1	1	1	1	1	23	9	0	5
Jul-01	56.52	7	35	8	1	22	1	1	8	2	4	0	1	0	1	0	1	1	0	1	1	3	0	0	0	0	2	1	0	2	2	1	0	1	27	12	0	4
Aug-01	40.14	3	39	2	0	14	2	1	9	0	2	0	0	0	1	1	0	4	1	2	0	4	1	0	2	0	4	1	2	1	4	2	2	1	21	6	0	2
Sep-01	40.43	7	40	0	2	14	2	2	4	2	2	0	7	0	0	1	0	3	0	2	0	6	0	1	5	0	4	0	0	2	5	1	1	1	21	5	3	4
Oct-01	31.59	10	39	2	0	10	1	4	7	3	4	0	2	0	0	0	1	2	1	3	0	4	0	0	3	0	5	0	5	1	3	1	3	1	14	13	1	5
Nov-01	26.10	6	25	2	1	8	1	1	2	3	4	0	0	0	1	0	0	1	0	3	1	2	2	1	1	3	3	1	2	2	2	1	1	3	20	17	0	5
Dec-01	24.00	4	30	2	0	5	4	4	9	2	3	0	2	0	0	2	1	1	0	3	0	3	2	0	1	0	1	0	1	2	2	1	0	1	13	11	0	13
Jan-02	22.41	6	15	3	4	9	1	2	4	2	2	0	2	0	0	1	1	3	0	4	0	4	0	0	0	0	2	0	0	3	5	0	2	0	7	6	0	7
Feb-02	22.87	5	18	8	0	8	3	0	3	6	3	1	0	0	0	1	1	1	1	2	0	3	0	0	1	0	5	0	4	2	2	0	0	1	17	9	0	5
Mar-02	20.19	4	33	2	1	13	3	0	4	2	3	0	2	0	1	2	0	2	0	1	0	4	0	0	4	0	0	0	0	1	3	0	2	1	10	9	1	3
Apr-02	33.22	11	46	5	2	11	2	1	11	1	3	1	3	0	2	0	0	3	0	0	0	1	1	1	0	0	2	0	1	0	1	0	1	1	13	9	0	2
May-02	28.61	5	54	4	1	10	1	2	4	2	3	0	4	3	1	3	0	4	0	3	0	2	0	1	0	0	3	0	2	2	0	0	1	1	12	12	0	4
Jun-02	56.03	4	24	2	1	10	4	0	0	4	5	0	3	1	1	0	0	4	1	2	0	4	1	0	0	0	3	0	1	0	2	0	1	2	13	12	0	7
Jul-02	49.71	4	27	1	1	10	0	1	1	0	2	0	1	1	0	2	1	4	2	1	0	5	0	0	1	0	3	0	2	0	5	0	2	4	16	8	2	2
Aug-02	47.03	12	31	1	2	4	1	0	5	5	2	1	2	1	2	1	1	1	2	1	1	4	1	2	0	0	5	0	2	2	8	0	3	2	26	9	0	6
Sep-02	43.29	4	34	2	1	6	0	1	6	2	2	0	2	0	1	0	1	3	1	3	0	1	0	0	1	0	2	1	0	0	4	1	0	3	19	6	1	9
Oct-02	38.77	3	35	3	1	10	2	1	4	1	1	0	5	0	1	2	0	3	0	4	0	2	0	0	2	0	3	4	0	2	3	0	1	0	16	10	0	3
Nov-02	23.13	3	22	5	0	9	3	1	4	2	1	0	5	0	0	0	0	4	0	2	1	3	0	1	1	0	6	0	0	0	6	0	1	1	21	7	0	4
Dec-02	18.42	16	43	4	0	17	3	2	5	6	5	0	2	0	0	0	0	2	0	0	0	2	1	1	3	0	2	1	4	2	5	0	0	0	24	18	0	4
Jan-03	16.90	4	22	1	1	5	2	1	1	2	0	0	0	2	0	1	1	0	0	3	0	0	0	0	0	0	3	1	3	2	4	0	1	1	15	9	0	3
Feb-03	17.36	3	27	0	1	6	3	0	4	4	1	0	1	2	2	1	0	1	1	3	0	1	2	0	1	0	5	1	0	0	3	0	0	1	14	9	0	1
Mar-03	20.11	5	36	3	0	18	1	1	3	0	4	1	1	0	2	0	0	2	1	1	1	5	0	2	0	0	4	0	0	1	2	1	1	4	11	9	0	3
Apr-03	29.78	5	51	8	0	22	1	0	5	2	6	0	2	0	1	0	1	0	1	1	1	2	1	0	4	0	4	0	2	1	5	1	1	1	19	4	1	1
May-03	34.00	7	46	2	1	17	3	0	4	5	5	0	3	2	1	1	0	2	1	2	0	1	0	0	1	0	3	1	0	3	0	1	0	1	19	8	1	8
Jun-03	47.04	6	38	4	1	16	1	1	5	1	3	0	2	0	0	0	0	6	2	3	0	4	0	0	5	0	4	0	0	3	5	1	1	0	20	9	1	7
Jul-03	56.21	4	38	8	0	20	2	2	12	1	11	0	9	2	1	0	0	6	3	3	0	4	3	0	0	0	5	1	2	2	8	0	1	1	22	10	2	4
Aug-03	35.61	12	47	4	1	18	5	1	4	2	2	1	2	1	2	2	0	1	4	3	0	4	1	1	0	1	2	0	1	2	6	0	2	3	31	14	2	11
Sep-03	33.35	6	39	4	1	15	1	3	4	2	7	0	7	0	0	0	0	0	0	2	1	0	0	2	0	0	2	5	1	0	9	1	2	2	32	12	1	4
