data,cod_acid,feridas,mortas,automovel,caminhonete,onibus_caminhao,bicicleta,moto,van,sem_informacao,Chuva,Precipitacao,TempMaxima,TempMinima,Insolacao,TempMedia,Umidade,Veloc_Vento,A2016,A2017,latitude,longitude,dist,Esquina
2016-02-01 00:30:00,2,1,0,1,0,0,0,1,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.5247,-46.49201,849.830758551245,0
2016-02-01 02:16:00,2,2,0,1,0,0,0,0,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.63796,-46.70014,323.508531157459,0
2016-02-01 03:00:00,2,1,0,0,0,0,0,1,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.58569,-46.8036,4311.80608025619,0
2016-02-01 05:10:00,2,0,1,1,0,0,0,1,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.44775,-46.70804,586.000515824929,0
2016-02-01 06:10:00,2,2,0,0,1,0,0,1,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.62839,-46.6287,202.015252447755,0
2016-02-01 06:20:00,4,0,1,0,0,1,0,0,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.5921,-46.44434,383.963224927369,0
2016-02-01 06:28:00,2,1,0,0,0,1,0,1,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.43518,-46.57517,3250.66472265082,0
2016-02-01 06:30:00,2,1,0,0,0,1,1,0,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.50099,-46.70636,34.9074556407255,0
2016-02-01 06:40:00,2,1,0,0,0,0,0,1,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.50045,-46.61433,242.876887778162,0
2016-02-01 07:03:00,2,1,0,1,0,0,1,0,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.59703,-46.52977,133.168621997756,0
2016-02-01 07:20:00,2,2,0,0,0,0,0,1,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.61708,-46.60924,461.660786015369,0
2016-02-01 07:55:00,2,1,0,0,0,1,1,0,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.54235,-46.58295,151.118413248421,0
2016-02-01 08:00:00,2,1,0,0,0,0,0,1,1,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.52208,-46.61091,125.38560529217,0
2016-02-01 08:19:00,2,1,0,0,0,1,0,1,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.5318,-46.52144,173.260727803894,1
2016-02-01 08:51:00,2,1,0,1,1,0,0,0,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.57068,-46.70368,197.703796558208,1
2016-02-01 09:00:00,4,1,0,1,0,0,0,0,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.52308,-46.62504,358.576337239041,0
2016-02-01 09:00:00,2,1,0,2,0,0,0,2,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.50561,-46.70513,167.455672937449,0
2016-02-01 10:30:00,2,1,0,1,0,0,0,1,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.52073,-46.74663,202.135336305469,0
2016-02-01 11:00:00,4,1,0,1,0,0,0,0,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.5486,-46.66199,255.832687928348,0
2016-02-01 11:21:00,2,0,1,0,0,1,0,1,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.50668,-46.69173,193.898341218386,0
2016-02-01 11:55:00,2,1,0,1,0,0,0,1,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.53336,-46.65239,164.41865915298,0
2016-02-01 12:00:00,2,1,0,1,0,0,0,1,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.5767,-46.7437,601.075026301268,0
2016-02-01 13:26:00,4,3,0,0,0,0,0,1,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.64545,-46.70771,209.175407705152,0
2016-02-01 14:00:00,2,1,0,1,0,0,0,1,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.57147,-46.60561,145.111613835693,0
2016-02-01 14:00:00,2,1,0,0,0,0,0,1,0,1,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.61063,-46.62791,372.270300848614,1
2016-02-01 14:30:00,2,1,0,1,0,0,0,1,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.6507,-46.69454,749.234211960025,0
2016-02-01 15:19:00,2,1,0,1,0,0,1,0,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.553,-46.63707,130.4550465097,1
2016-02-01 16:00:00,4,1,0,1,0,0,0,0,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.71347,-46.69139,788.203468909897,0
2016-02-01 16:00:00,2,1,0,0,0,0,0,1,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.64485,-46.72554,72.7418519742735,0
2016-02-01 16:20:00,4,1,0,1,0,0,0,0,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.54307,-46.64802,301.104606004733,0
2016-02-01 16:30:00,2,1,0,1,0,0,0,1,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.57898,-46.66135,140.266228207077,0
2016-02-01 16:58:00,2,1,0,0,1,0,0,1,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.56126,-46.64435,184.088863200714,0
2016-02-01 17:11:00,2,1,0,1,0,0,0,1,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.4894,-46.65092,521.878233829107,0
2016-02-01 17:24:00,2,1,0,1,0,0,0,1,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.58835,-46.67261,325.204474882224,0
2016-02-01 17:30:00,2,1,0,1,0,0,0,1,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.70288,-46.64755,384.851245248447,0
2016-02-01 17:45:00,2,2,0,1,0,0,0,1,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.47297,-46.66705,603.718157321569,0
2016-02-01 18:10:00,4,1,0,0,0,1,0,0,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.66599,-46.71929,728.242833824314,0
2016-02-01 18:20:00,2,2,0,0,0,0,0,2,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.62193,-46.62781,317.829989461682,1
2016-02-01 18:30:00,2,2,0,2,0,1,0,0,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.55596,-46.6994,739.521581799786,0
2016-02-01 18:30:00,4,1,0,0,0,0,0,0,0,1,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.67566,-46.7581,1583.92275869452,0
2016-02-01 19:00:00,2,1,0,1,0,1,0,0,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.53801,-46.64494,220.161903524014,0
2016-02-01 19:00:00,2,2,0,1,0,0,0,1,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.51502,-46.65442,67.700717576316,0
2016-02-01 19:30:00,4,1,0,0,0,0,0,1,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.52722,-46.4094,793.92604097162,0
2016-02-01 19:30:00,2,1,0,0,0,2,0,0,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.54677,-46.62257,601.419224647978,0
2016-02-01 20:30:00,2,2,0,0,0,1,0,1,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.5449,-46.51475,827.529687410717,1
2016-02-01 20:30:00,2,1,0,0,0,0,0,1,0,0,0,0,33.5,22.5,11.1,27.68,54.75,2.3,1,0,-23.6399,-46.65298,378.820306734635,0
