date	concentracao
2/3/2002	129.999
2/4/2002	26.22
2/6/2002	15.48
2/11/2002	19.03
2/14/2002	21.76
2/18/2002	26.82
2/25/2002	27.91
3/4/2002	22.88
3/8/2002	28.63
3/13/2002	22.73
3/17/2002	17.8
3/23/2002	9.62
3/25/2002	21.84
3/27/2002	17.85
4/1/2002	31.97
4/4/2002	33.08
4/8/2002	29.07
4/10/2002	31.59
4/17/2002	20.22
4/24/2002	41.26
4/29/2002	45.34
5/3/2002	29.4
5/6/2002	24.58
5/13/2002	25.51
5/16/2002	24.7
5/22/2002	19.93
5/27/2002	40.9
5/29/2002	35.27
6/3/2002	39.48
6/10/2002	54.86
6/13/2002	62.34
6/18/2002	80.69
6/24/2002	52.49
6/27/2002	46.31
7/4/2002	47.9
7/6/2002	60.68
7/8/2002	52.77
7/11/2002	30.07
7/15/2002	59.92
7/19/2002	56.68
7/22/2002	27.04
7/24/2002	62.61
8/1/2002	26.1
8/5/2002	40.68
8/10/2002	63.22
8/12/2002	53.26
8/15/2002	72.13
8/19/2002	35.01
8/21/2002	51.98
8/26/2002	51.71
8/29/2002	29.2
9/15/2002	45.55
9/19/2002	44.87
9/23/2002	24.19
9/27/2002	46.34
9/30/2002	55.52
10/3/2002	49.78
10/7/2002	38.04
10/10/2002	58.04
10/13/2002	56.24
10/21/2002	40.64
10/25/2002	28.28
10/28/2002	17.73
10/31/2002	21.44
11/4/2002	26.16
11/14/2002	15.13
11/18/2002	19.62
11/25/2002	20.18
11/28/2002	34.57
12/2/2002	20.55
12/9/2002	19.23
12/10/2002	22.48
12/16/2002	16.33
12/23/2002	22.55
12/26/2002	10.51
12/30/2002	17.31
1/3/2003	24.79
1/6/2003	6.5
1/13/2003	20.93
1/16/2003	11.48
1/20/2003	16.11
1/23/2003	18.29
1/29/2003	20.2
2/1/2003	20.97
2/3/2003	12.34
2/6/2003	16.97
2/10/2003	14.45
2/19/2003	13.94
2/25/2003	7.77
2/27/2003	35.08
3/3/2003	28.94
3/7/2003	30.74
3/10/2003	9.65
3/13/2003	1.41
3/17/2003	28.87
3/18/2003	21.8
3/24/2003	14.79
3/25/2003	17.74
3/27/2003	27.06
4/2/2003	28.1
4/7/2003	41.69
4/10/2003	20.68
4/13/2003	19.23
4/16/2003	34.38
4/20/2003	44.68
4/25/2003	17.82
4/28/2003	31.69
