Data	Concentracao	Precipitacao	Velocidade_vento	Temperatura	Umidade
9/23/1997	40.58	2.40	1.90	24.40	54.70
9/25/1997	25.17	0.00	2.50	20.20	91.00
9/30/1997	44.63	2.20	3.70	23.70	77.00
10/4/1997	38.62	0.00	4.00	23.30	53.70
10/8/1997	27.66	0.00	0.20	25.70	66.70
10/9/1997	40.05	0.00	2.50	28.90	51.00
10/14/1997	52.41	8.20	3.70	19.80	47.70
10/16/1997	24.31	0.00	2.00	21.00	84.00
10/21/1997	31.33	0.00	3.20	22.00	89.00
10/23/1997	41.14	0.00	2.40	26.80	72.00
10/28/1997	33.07	0.00	2.90	28.00	58.70
10/29/1997	35.01	0.00	3.70	25.80	56.00
11/4/1997	29.82	0.60	2.20	24.50	70.00
11/6/1997	26.46	19.20	3.10	28.00	76.30
11/11/1997	20.74	0.00	1.60	24.80	58.00
11/13/1997	12.11	41.60	1.90	21.70	75.00
11/17/1997	15.34	16.10	4.00	21.70	90.30
11/19/1997	21.16	0.00	2.90	22.30	76.30
11/25/1997	22.38	2.60	2.00	20.50	86.70
11/27/1997	16.64	14.70	3.20	22.90	97.70
12/2/1997	30.90	6.60	2.60	21.00	81.30
12/4/1997	22.80	0.00	1.60	24.30	88.70
12/9/1997	19.70	0.00	2.10	23.10	77.00
12/11/1997	22.30	0.00	2.90	23.50	82.00
12/15/1997	24.43	0.00	2.20	23.10	77.30
12/18/1997	13.81	0.00	1.30	27.80	76.70
12/23/1997	32.83	17.00	2.70	24.10	65.00
12/25/1997	13.21	0.00	3.00	26.10	81.00
12/30/1997	20.20	0.00	2.20	26.80	69.30
1/1/1998	29.38	24.40	2.40	26.60	71.30
1/6/1998	36.55	16.50	4.80	19.30	73.70
1/8/1998	24.30	4.40	1.80	24.00	92.00
1/13/1998	19.70	0.00	2.00	24.80	80.00
1/15/1998	18.30	8.90	2.60	25.10	77.70
1/20/1998	12.64	1.10	2.20	25.80	73.70
1/22/1998	21.06	0.00	2.60	27.60	69.70
1/27/1998	18.23	76.00	2.10	25.20	69.30
1/29/1998	22.55	3.00	1.70	26.80	80.30
2/3/1998	20.17	8.20	3.60	26.90	74.30
2/5/1998	17.69	2.80	2.50	24.60	73.00
2/10/1998	18.70	22.70	5.40	19.50	88.70
2/12/1998	17.64	0.60	1.60	20.90	87.70
2/16/1998	18.31	0.00	1.80	25.30	86.70
2/18/1998	28.19	0.30	3.00	22.60	78.30
2/24/1998	23.20	6.60	1.80	22.30	92.00
2/26/1998	19.90	29.90	2.30	23.10	91.70
3/3/1998	19.46	33.50	2.10	25.60	84.30
3/5/1998	30.30	0.20	1.60	26.90	68.00
3/10/1998	35.02	0.00	2.70	27.20	68.00
