Data	Concentracao
09/23/1997	40.58
09/25/1997	25.17
09/30/1997	44.63
10/04/1997	38.62
10/08/1997	27.66
10/09/1997	40.05
10/14/1997	52.41
10/16/1997	24.31
10/21/1997	31.33
10/23/1997	41.14
10/28/1997	33.07
10/29/1997	35.01
11/04/1997	29.82
11/06/1997	26.46
11/11/1997	20.74
11/13/1997	12.11
11/17/1997	15.34
11/19/1997	21.16
11/25/1997	22.38
11/27/1997	16.64
12/02/1997	30.9
12/04/1997	22.8
12/09/1997	19.7
12/11/1997	22.3
12/15/1997	24.43
12/18/1997	13.81
12/23/1997	32.83
12/25/1997	13.21
12/30/1997	20.2
01/01/1998	29.38
01/06/1998	36.55
01/08/1998	24.3
01/13/1998	19.7
01/15/1998	18.3
01/20/1998	12.64
01/22/1998	21.06
01/27/1998	18.23
01/29/1998	22.55
02/03/1998	20.17
02/05/1998	17.69
02/10/1998	18.7
02/12/1998	17.64
02/16/1998	18.31
02/18/1998	28.19
02/24/1998	23.2
02/26/1998	19.9
03/03/1998	19.46
03/05/1998	30.3
03/10/1998	35.02
03/12/1998	23.52
03/17/1998	22.17
03/19/1998	25.4
03/24/1998	20.8
03/25/1998	26.04
03/31/1998	18.98
04/02/1998	27.13
04/07/1998	23.45
04/09/1998	20.21
04/14/1998	39.63
04/16/1998	38.96
04/21/1998	31.71
04/23/1998	24.15
04/28/1998	15.93
04/30/1998	23.65
05/05/1998	14.85
05/07/1998	22.81
05/12/1998	40.08
05/14/1998	95.54
05/19/1998	23.77
05/21/1998	41.89
05/26/1998	41.32
05/28/1998	29.06
06/02/1998	35.3
06/04/1998	41.56
06/09/1998	50.23
06/11/1998	41.08
06/16/1998	47.65
06/18/1998	42.71
06/23/1998	45.92
06/25/1998	26.63
06/30/1998	50.75
07/02/1998	49.38
07/07/1998	60.63
07/09/1998	11.24
07/10/1998	43.5
07/14/1998	66.32
07/17/1998	62.99
07/21/1998	63.36
07/23/1998	58.16
07/28/1998	53.27
07/30/1998	43.37
08/04/1998	37
08/11/1998	48.11
08/13/1998	49.75
08/18/1998	54.4
08/20/1998	90.11
08/25/1998	58.71
08/27/1998	51.08
09/01/1998	51.8
09/03/1998	51.82
09/08/1998	21.18
09/10/1998	35.3
09/15/1998	39.5
09/22/1998	24.9
09/24/1998	52.59
09/29/1998	35.03
10/01/1998	24.91
10/06/1998	29.67
10/08/1998	20.27
10/13/1998	27.13
10/15/1998	16.3
10/20/1998	20.2
10/28/1998	36.92
10/29/1998	35.5
11/03/1998	25.65
11/05/1998	36.6
