Data	Concentracao	Precipitacao	Temperatura	Umidade	Velocidade_vento
1/1/2014	11.00	0.00	24.47	81.82	2.37
1/2/2014	10.58	0.00	25.43	77.50	1.97
1/3/2014	16.58	0.00	29.62	58.00	2.12
1/4/2014	16.50	0.00	27.45	65.16	2.51
1/5/2014	16.75	0.00	27.20	61.38	2.90
1/6/2014	20.83	0.00	28.10	51.14	2.26
1/7/2014	31.63	0.00	27.69	51.21	2.21
1/8/2014	31.71	0.00	27.68	51.83	2.43
1/9/2014	25.50	0.00	27.94	51.83	2.20
1/10/2014	27.33	0.00	27.50	51.63	2.62
1/11/2014	21.13	0.00	27.14	56.63	2.18
1/12/2014	25.42	0.00	26.75	61.25	2.09
1/13/2014	16.75	0.00	24.30	74.00	2.08
1/14/2014	19.92	0.00	25.76	65.17	1.88
1/15/2014	13.58	0.00	26.22	62.27	1.90
1/16/2014	15.58	0.00	24.75	67.88	1.95
1/17/2014	13.88	0.00	25.43	64.08	2.08
1/18/2014	15.08	0.00	25.68	62.54	2.19
1/19/2014	16.29	0.00	26.36	57.63	2.07
1/20/2014	22.75	0.00	27.80	53.00	2.08
1/21/2014	19.08	0.00	26.59	61.79	3.13
1/22/2014	15.33	0.00	26.73	64.92	2.53
1/23/2014	12.08	0.00	26.05	70.29	1.86
1/24/2014	17.67	0.00	25.99	71.38	1.93
1/25/2014	8.92	0.00	25.38	68.39	1.78
1/26/2014	21.63	0.00	28.82	57.11	1.90
1/27/2014	20.88	0.00	28.07	56.30	2.06
1/28/2014	22.71	0.00	27.20	53.92	2.08
1/29/2014	24.08	0.00	28.19	36.04	2.07
1/30/2014	33.46	0.00	28.67	40.92	1.53
1/31/2014	36.71	0.00	28.78	44.58	1.66
2/1/2014	35.46	0.00	29.31	41.25	2.13
2/2/2014	27.42	0.00	28.60	41.67	2.51
2/3/2014	27.04	0.00	28.96	39.17	2.40
2/4/2014	29.63	0.00	29.53	37.38	2.49
2/5/2014	38.38	0.00	30.07	37.75	1.89
2/6/2014	27.50	0.00	29.59	42.21	2.48
2/7/2014	27.79	0.00	29.46	38.33	2.68
2/8/2014	29.63	0.00	27.91	51.38	2.09
2/9/2014	17.75	0.00	28.10	46.17	2.08
2/10/2014	25.75	0.00	29.05	44.42	2.05
2/11/2014	26.67	0.00	28.62	46.63	2.07
2/12/2014	29.25	0.00	28.03	47.67	2.00
2/13/2014	33.67	0.00	28.09	50.54	1.86
2/14/2014	14.50	0.00	25.30	67.54	2.31
2/15/2014	11.54	0.00	22.46	85.00	2.33
2/16/2014	9.79	0.00	22.38	84.73	2.05
2/17/2014	15.58	0.00	24.20	74.19	2.40
2/18/2014	16.63	0.00	25.51	61.86	2.65
2/19/2014	15.63	0.00	25.94	53.09	2.32
2/20/2014	23.25	0.00	26.57	55.50	2.28
2/21/2014	22.58	0.00	27.45	55.04	2.16
2/22/2014	15.83	0.00	23.27	81.33	1.53
2/23/2014	13.42	0.00	24.41	74.55	2.18
2/24/2014	10.67	0.00	25.27	74.26	2.12
2/25/2014	15.33	0.00	24.81	70.71	2.30
2/26/2014	16.88	0.00	27.21	58.39	2.08
2/27/2014	27.54	0.00	25.98	70.08	1.60
2/28/2014	14.33	0.00	25.20	73.00	1.90
3/1/2014	9.17	0.00	23.30	79.41	2.95
3/2/2014	10.38	0.00	25.49	67.95	1.76
3/3/2014	15.33	0.00	26.08	64.48	2.39
3/4/2014	14.92	0.00	25.50	69.00	2.49
3/5/2014	10.71	0.00	22.44	89.67	1.62
3/6/2014	12.96	0.00	24.64	76.89	1.58
3/7/2014	10.00	0.00	23.42	75.48	2.58
3/8/2014	12.79	0.00	24.22	71.52	1.53
3/9/2014	11.46	0.00	25.50	61.65	1.42
3/10/2014	17.92	0.00	27.67	57.00	1.91
3/11/2014	18.33	0.00	25.44	67.88	2.25
3/12/2014	15.08	0.00	22.95	85.38	1.82
3/13/2014	24.17	0.00	23.62	79.41	1.95
3/14/2014	21.75	0.00	26.62	62.37	2.20
3/15/2014	20.08	0.00	28.44	54.68	1.87
3/16/2014	22.50	0.00	27.51	54.88	2.10
3/17/2014	26.71	0.00	27.56	48.58	1.76
3/18/2014	33.46	0.00	26.83	55.43	2.13
3/19/2014	28.96	0.00	26.54	59.54	1.52
3/20/2014	26.92	0.00	25.58	67.00	2.34
3/21/2014	21.79	0.00	24.22	80.14	2.75
3/22/2014	8.88	0.00	23.11	80.79	1.48
3/23/2014	12.96	0.00	21.96	75.11	3.57
3/24/2014	16.08	0.00	22.96	70.14	2.45
3/25/2014	24.04	0.00	24.39	62.41	2.75
3/26/2014	22.13	0.00	24.05	64.32	2.43
3/27/2014	39.79	0.00	25.69	61.10	2.22
3/28/2014	31.83	0.00	25.55	61.21	1.86
3/29/2014	30.83	0.00	25.39	63.92	2.24
3/30/2014	20.50	0.00	23.54	79.75	1.86
3/31/2014	9.50	0.00	25.48	72.05	2.03
4/1/2014	24.00	0.00	26.40	69.26	1.90
4/2/2014	23.88	0.00	26.11	68.57	2.12
4/3/2014	30.71	0.00	26.39	64.86	2.41
4/4/2014	22.75	0.00	26.42	63.14	2.45
4/5/2014	19.71	0.00	26.03	60.18	2.15
4/6/2014	26.13	0.00	26.54	51.33	1.98
4/7/2014	30.70	0.00	27.07	46.39	1.93
4/8/2014	46.33	0.00	27.63	45.29	1.33
4/9/2014	45.04	0.00	26.30	62.92	1.53
4/10/2014	46.58	0.00	25.61	69.58	1.50
4/11/2014	40.33	0.00	25.52	68.38	2.01
4/12/2014	21.71	0.00	25.08	74.50	2.70
4/13/2014	10.33	0.00	24.83	78.37	1.55
4/14/2014	21.83	0.00	22.26	77.30	2.93
4/15/2014	14.88	0.00	20.08	85.71	2.49
4/16/2014	14.71	0.00	22.53	81.29	1.83
4/17/2014	25.58	0.00	22.94	78.05	1.96
4/18/2014	30.46	0.00	23.36	69.25	1.88
4/19/2014	27.79	0.00	26.29	55.78	1.55
4/20/2014	24.54	0.00	25.25	63.38	2.08
4/21/2014	22.33	0.00	25.41	61.78	2.15
4/22/2014	24.50	0.00	22.34	73.55	2.18
4/23/2014	26.58	0.00	22.96	74.00	1.52
4/24/2014	24.38	0.00	21.85	73.57	2.10
4/25/2014	22.33	0.00	21.15	68.83	2.29
4/26/2014	20.08	0.00	20.52	63.48	2.53
4/27/2014	20.88	0.00	19.61	60.87	2.59
4/28/2014	26.42	0.00	21.66	56.25	2.20
4/29/2014	29.46	0.00	20.31	54.75	2.46
