Data	Concentracao	Precipitacao	Temperatura	Umidade	Velocidade_vento
1/1/2014	37.79	0.00	25.85	87.17	1.56
1/2/2014	27.17	0.00	26.68	74.58	1.87
1/3/2014	34.75	0.00	28.55	67.63	1.71
1/4/2014	26.58	0.00	27.12	70.04	2.31
1/5/2014	24.33	0.00	25.43	76.38	2.15
1/6/2014	34.38	0.00	26.26	68.79	1.89
1/7/2014	37.38	0.00	27.10	54.38	1.71
1/8/2014	43.79	0.00	27.98	48.17	1.98
1/9/2014	41.25	0.00	26.91	55.71	2.05
1/10/2014	39.79	0.00	28.39	51.00	1.61
1/11/2014	43.42	0.00	28.08	57.63	1.78
1/12/2014	33.67	0.00	26.30	75.88	1.57
1/13/2014	25.00	0.00	23.39	87.96	2.17
1/14/2014	34.50	0.00	25.87	70.96	1.35
1/15/2014	27.33	0.00	24.75	76.00	1.54
1/16/2014	31.29	0.00	23.56	84.00	1.11
1/17/2014	31.38	0.00	25.68	69.92	1.51
1/18/2014	24.92	0.00	25.60	65.04	1.79
1/19/2014	27.29	0.00	25.35	65.08	1.66
1/20/2014	25.24	0.00	26.80	61.35	1.61
1/21/2014	31.50	0.00	27.74	58.08	1.90
1/22/2014	39.79	0.00	27.59	63.08	2.01
1/23/2014	32.92	0.00	26.77	71.92	1.83
1/24/2014	24.21	0.00	26.26	78.00	1.21
1/25/2014	25.58	0.00	26.31	74.21	1.42
1/26/2014	25.96	0.00	27.95	66.08	1.86
1/27/2014	28.25	0.00	27.75	65.83	1.61
1/28/2014	34.08	0.00	27.90	57.42	1.88
1/29/2014	42.71	0.00	29.17	59.71	1.33
1/30/2014	41.33	0.00	29.63	37.47	1.30
1/31/2014	57.00	0.00	28.38	39.79	1.19
2/1/2014	46.08	0.00	30.28	35.19	1.12
2/2/2014	35.00	0.00	30.27	39.00	1.85
2/3/2014	38.58	0.00	30.43	38.75	1.81
2/4/2014	49.88	0.00	30.51	36.13	1.70
2/5/2014	50.35	0.00	30.56	33.67	1.63
2/6/2014	40.13	0.00	30.27	39.85	1.84
2/7/2014	45.29	0.00	30.93	35.11	1.75
2/8/2014	37.75	0.00	30.90	31.60	1.91
2/9/2014	42.92	0.00	28.12	49.76	1.92
2/10/2014	41.54	0.00	28.88	52.88	1.42
2/11/2014	38.63	0.00	29.36	41.54	1.90
2/12/2014	45.13	0.00	28.56	43.50	2.23
2/13/2014	55.13	0.00	27.83	52.42	1.61
2/14/2014	41.21	0.00	25.57	68.88	1.35
2/15/2014	21.71	0.00	22.63	59.33	1.51
2/16/2014	17.50	0.00	23.57	64.35	1.60
2/17/2014	15.63	0.00	23.97	67.64	2.03
2/18/2014	20.79	0.00	0.00	0.00	3.20
2/19/2014	25.00	0.00	0.00	0.00	2.61
2/20/2014	39.67	0.00	0.00	0.00	1.69
2/21/2014	34.42	0.00	0.00	0.00	1.85
2/22/2014	27.67	0.00	0.00	0.00	2.00
2/23/2014	48.29	0.00	0.00	0.00	1.45
2/24/2014	24.88	0.00	0.00	0.00	1.34
2/25/2014	37.29	0.00	0.00	0.00	1.20
2/26/2014	37.71	0.00	0.00	0.00	1.39
2/27/2014	38.42	0.00	0.00	0.00	1.73
2/28/2014	29.38	0.00	27.13	0.00	2.06
3/1/2014	18.29	0.00	23.08	80.83	1.93
3/2/2014	21.33	0.00	24.97	74.10	1.39
3/3/2014	22.67	0.00	25.94	67.64	2.50
3/4/2014	37.26	0.00	25.64	71.73	1.60
3/5/2014	29.79	0.00	21.60	94.00	0.85
