date	concentracao
2/16/2014	129.999
2/17/2014	15.31
2/18/2014	16.63
2/19/2014	18.55
2/20/2014	21.63
2/21/2014	0.91
2/22/2014	11.63
2/23/2014	30.58
2/24/2014	14.99
2/25/2014	19.6
2/26/2014	30.42
2/27/2014	27.52
2/28/2014	19.32
3/1/2014	10.05
3/2/2014	13.91
3/3/2014	19.26
3/4/2014	13.85
3/5/2014	16.09
3/6/2014	22.48
4/16/2014	18.27
4/17/2014	26.36
4/18/2014	17.75
4/19/2014	21.52
4/20/2014	22.51
4/21/2014	19.06
4/22/2014	16.7
4/23/2014	34.62
4/24/2014	18.62
4/25/2014	25.39
4/26/2014	27.33
4/27/2014	32.29
4/28/2014	41.3
4/29/2014	37.8
4/30/2014	55.28
5/1/2014	42.57
5/2/2014	50.93
5/3/2014	39.96
5/5/2014	45.33
5/6/2014	33.27
5/7/2014	39.28
5/8/2014	44.42
5/9/2014	39
5/10/2014	26.81
5/11/2014	22.09
5/12/2014	33.03
5/13/2014	38.91
5/14/2014	55.55
5/15/2014	49.85
5/16/2014	58.86
5/17/2014	48.34
5/18/2014	40.78
5/19/2014	49.08
5/20/2014	45.27
5/21/2014	49.88
5/22/2014	33.59
5/23/2014	15.19
5/24/2014	14.94
5/25/2014	15.32
5/26/2014	17.27
5/28/2014	22.56
5/29/2014	27.1
5/30/2014	29.99
5/31/2014	43.23
6/1/2014	25.04
6/2/2014	25.4
6/3/2014	31.24
6/4/2014	29.69
6/5/2014	39.69
6/6/2014	50.96
6/7/2014	50.81
6/8/2014	45.17
6/9/2014	49.68
6/10/2014	27.87
6/11/2014	26.59
6/12/2014	18.89
6/13/2014	27.1
6/14/2014	25.52
6/15/2014	36.59
6/16/2014	34.49
6/17/2014	38.68
6/18/2014	42.22
6/19/2014	25.06
6/20/2014	40.35
6/21/2014	34.67
6/22/2014	41.03
6/24/2014	30.98
6/25/2014	45.54
6/26/2014	49.36
6/27/2014	58.91
6/28/2014	50.01
6/29/2014	19.85
6/30/2014	22.69
7/1/2014	38.53
7/2/2014	40.15
7/3/2014	44.03
7/4/2014	38.07
7/5/2014	82.8
7/6/2014	34.87
7/7/2014	56.13
7/8/2014	25.79
7/9/2014	16.58
7/10/2014	12.99
7/11/2014	17.47
7/12/2014	19.52
7/13/2014	9.39
7/15/2014	27.34
7/16/2014	28.94
7/17/2014	39.47
7/18/2014	24.97
7/19/2014	34.9
7/20/2014	39.22
7/21/2014	45.15
7/22/2014	35.55
7/23/2014	37.65
7/24/2014	23.91
7/25/2014	18.71
7/26/2014	17.56
7/27/2014	15.39
7/28/2014	21.11
7/29/2014	19.26
7/30/2014	23.4
7/31/2014	24.13
8/1/2014	34.1
8/2/2014	36.63
8/4/2014	47.97
8/5/2014	42.71
8/6/2014	27.35
8/7/2014	47.65
8/8/2014	46.17
8/9/2014	30.35
8/10/2014	24.69
8/11/2014	37.53
8/12/2014	49.26
8/13/2014	34.36
8/14/2014	20.86
8/15/2014	28.8
8/16/2014	29.1
8/17/2014	19.03
8/18/2014	33.02
8/19/2014	37.1
8/20/2014	40.29
8/22/2014	49.62
8/23/2014	39.82
8/24/2014	48.32
8/25/2014	85.05
8/26/2014	59.52
8/27/2014	31.83
8/29/2014	45.9
8/30/2014	38.32
8/31/2014	42.99
9/1/2014	23.5
9/2/2014	29.13
9/3/2014	16.15
9/4/2014	15.53
9/5/2014	19.19
9/6/2014	23.13
9/7/2014	34.48
9/8/2014	32.76
9/9/2014	27.75
9/10/2014	33.83
9/11/2014	41.66
9/12/2014	51.65
9/13/2014	36.19
9/14/2014	48.45
9/15/2014	49.49
9/16/2014	48.12
9/17/2014	67.15
9/18/2014	62.26
9/19/2014	51.1
9/20/2014	17.78
9/21/2014	16.02
9/22/2014	22.62
9/23/2014	27.78
9/24/2014	28.88
9/25/2014	22.58
9/26/2014	16.8
9/27/2014	9.33
9/29/2014	29.29
10/1/2014	18.16
10/2/2014	21.38
10/3/2014	21.45
10/4/2014	19.3
10/5/2014	22.92
10/6/2014	30.67
10/7/2014	34.69
10/8/2014	41.15
10/9/2014	42.71
10/10/2014	49.44
10/11/2014	51.23
10/12/2014	45.49
10/13/2014	58.42
10/14/2014	66.41
10/15/2014	60.49
10/16/2014	84.61
10/17/2014	91.76
10/18/2014	50.06
10/19/2014	46.77
10/20/2014	25.72
10/21/2014	28.29
10/22/2014	29.72
10/24/2014	30.51
10/25/2014	11.43
10/26/2014	14.09
10/27/2014	23.92
10/28/2014	31.9
10/29/2014	22.9
10/30/2014	40.42
10/31/2014	26.58
11/1/2014	18.98
11/2/2014	16.59
11/3/2014	19.01
11/4/2014	8.46
11/5/2014	15.93
11/6/2014	18.64
11/7/2014	19.39
11/8/2014	18.38
11/10/2014	22.43
11/11/2014	31.94
11/12/2014	44.62
11/13/2014	21.92
11/14/2014	20.82
11/15/2014	15.36
11/17/2014	26.58
11/18/2014	26.09
11/19/2014	31.13
11/20/2014	41.21
11/21/2014	35.42
11/22/2014	23.45
11/23/2014	17.58
11/24/2014	14.92
11/25/2014	10.79
11/26/2014	12.65
11/27/2014	18.1
11/28/2014	21.09
12/4/2014	21.77
12/5/2014	26.3
12/6/2014	13.83
12/7/2014	11.36
12/8/2014	33.69
12/9/2014	7.04
12/10/2014	8.35
12/14/2014	9.6
12/15/2014	24.35
12/16/2014	24.82
12/17/2014	25.51
12/18/2014	21.85
12/19/2014	16.18
12/20/2014	10.45
12/21/2014	7.76
12/23/2014	6.68
12/24/2014	13.27
12/25/2014	12.61
12/27/2014	17.78
12/28/2014	21.92
12/29/2014	9.59
12/30/2014	13.14
1/28/2015	10.87
1/29/2015	11.92
1/30/2015	13.61
1/31/2015	14.4
2/1/2015	15.1
2/2/2015	14.81
2/3/2015	17.7
2/4/2015	12.87
2/5/2015	14.19
2/6/2015	15.55
2/7/2015	11.02
2/9/2015	8.31
2/10/2015	10.59
2/11/2015	11.34
2/12/2015	16.96
2/13/2015	17.97
2/15/2015	10.19
2/16/2015	11.39
2/18/2015	6.81
2/21/2015	20.48
2/22/2015	19.64
2/23/2015	15.07
2/24/2015	12.52
2/25/2015	7.97
2/26/2015	11.76
2/27/2015	12.49
2/28/2015	12.55
3/1/2015	16.31
3/2/2015	22.66
3/3/2015	26.08
3/4/2015	16.61
3/5/2015	18.92
3/6/2015	18.2
3/7/2015	10.56
3/8/2015	8.36
3/9/2015	7.85
3/10/2015	11.13
3/11/2015	13.31
3/12/2015	14.12
3/13/2015	11.5
3/14/2015	9.93
3/15/2015	8.6
3/16/2015	9.91
3/17/2015	17.05
3/18/2015	4.14
3/19/2015	15.47
3/20/2015	11.2
3/21/2015	10.79
3/22/2015	8.33
3/23/2015	16.04
3/24/2015	4.9
3/26/2015	20.07
3/27/2015	12.63
3/28/2015	24.1
3/29/2015	12.9
3/30/2015	9.35
3/31/2015	15.22
4/1/2015	28.22
4/2/2015	17.53
4/3/2015	13.65
4/4/2015	11.71
4/5/2015	6.56
4/6/2015	9.44
4/7/2015	20.25
4/8/2015	18.45
4/9/2015	26.1
4/10/2015	28.23
4/11/2015	19.18
4/12/2015	25.18
4/13/2015	33.85
4/14/2015	21.17
4/15/2015	14.52
4/16/2015	18.23
4/18/2015	40.38
4/19/2015	20.09
4/20/2015	28.32
4/21/2015	18.56
4/22/2015	27.16
4/23/2015	26.23
4/24/2015	35.43
4/25/2015	49.83
4/26/2015	51.04
4/27/2015	45.12
4/28/2015	59.44
4/29/2015	58.5
4/30/2015	81.08
