date	concentracao
9/23/1997	40.58
9/25/1997	25.17
9/30/1997	44.63
10/4/1997	38.62
10/8/1997	27.66
10/9/1997	40.05
10/14/1997	52.41
10/16/1997	24.31
10/21/1997	31.33
10/23/1997	41.14
10/28/1997	33.07
10/29/1997	35.01
11/4/1997	29.82
11/6/1997	26.46
11/11/1997	20.74
11/13/1997	12.11
11/17/1997	15.34
11/19/1997	21.16
11/25/1997	22.38
11/27/1997	16.64
12/2/1997	30.9
12/4/1997	22.8
12/9/1997	19.7
12/11/1997	22.3
12/15/1997	24.43
12/18/1997	13.81
12/23/1997	32.83
12/25/1997	13.21
12/30/1997	20.2
1/1/1998	29.38
1/6/1998	36.55
1/8/1998	24.3
1/13/1998	19.7
1/15/1998	18.3
1/20/1998	12.64
1/22/1998	21.06
1/27/1998	18.23
1/29/1998	22.55
2/3/1998	20.17
2/5/1998	17.69
2/10/1998	18.7
2/12/1998	17.64
2/16/1998	18.31
2/18/1998	28.19
2/24/1998	23.2
2/26/1998	19.9
3/3/1998	19.46
3/5/1998	30.3
3/10/1998	35.02
3/12/1998	23.52
3/17/1998	22.17
3/19/1998	25.4
3/24/1998	20.8
3/25/1998	26.04
3/31/1998	18.98
4/2/1998	27.13
4/7/1998	23.45
4/9/1998	20.21
4/14/1998	39.63
4/16/1998	38.96
4/21/1998	31.71
4/23/1998	24.15
4/28/1998	15.93
4/30/1998	23.65
5/5/1998	14.85
5/7/1998	22.81
5/12/1998	40.08
5/14/1998	95.54
5/19/1998	23.77
5/21/1998	41.89
5/26/1998	41.32
5/28/1998	29.06
6/2/1998	35.3
6/4/1998	41.56
6/9/1998	50.23
6/11/1998	41.08
6/16/1998	47.65
6/18/1998	42.71
6/23/1998	45.92
6/25/1998	26.63
6/30/1998	50.75
7/2/1998	49.38
7/7/1998	60.63
7/9/1998	11.24
7/10/1998	43.5
7/14/1998	66.32
7/17/1998	62.99
7/21/1998	63.36
7/23/1998	58.16
7/28/1998	53.27
7/30/1998	43.37
8/4/1998	37
8/11/1998	48.11
8/13/1998	49.75
8/18/1998	54.4
8/20/1998	90.11
8/25/1998	58.71
8/27/1998	51.08
9/1/1998	51.8
9/3/1998	51.82
9/8/1998	21.18
9/10/1998	35.3
9/15/1998	39.5
9/22/1998	24.9
9/24/1998	52.59
9/29/1998	35.03
10/1/1998	24.91
10/6/1998	29.67
10/8/1998	20.27
10/13/1998	27.13
10/15/1998	16.3
10/20/1998	20.2
10/28/1998	36.92
10/29/1998	35.5
11/3/1998	25.65
11/5/1998	36.6
11/9/1998	32.68
11/16/1998	31.44
11/18/1998	27.71
11/23/1998	39.58
11/25/1998	40.28
12/2/1998	38.93
12/7/1998	36.1
12/9/1998	22.42
12/14/1998	24.37
12/16/1998	24.45
12/21/1998	20.64
12/23/1998	22.5
12/28/1998	21.57
30,12/1998	22.04
1/4/1999	19.04
1/6/1999	21.03
1/11/1999	20.23
1/13/1999	21.82
1/18/1999	25.63
1/20/1999	34.04
1/25/1999	27.28
1/27/1999	24.96
2/1/1999	14.22
2/3/1999	28.27
2/8/1999	19.94
2/11/1999	22.73
2/15/1999	21.33
2/17/1999	18.88
2/22/1999	20.1
2/24/1999	17.66
3/1/1999	11.59
3/3/1999	14.29
3/8/1999	15.15
3/10/1999	14.6
3/15/1999	28.86
3/17/1999	35.72
3/22/1999	12.82
3/24/1999	24.68
3/29/1999	19.73
4/5/1999	36.33
4/7/1999	36.19
4/12/1999	38.32
4/14/1999	21.32
4/21/1999	46.2
4/23/1999	36.95
4/26/1999	41.32
4/28/1999	47.63
5/3/1999	46.98
5/5/1999	53.78
5/10/1999	28.95
5/12/1999	33.81
5/17/1999	45.12
5/19/1999	38.21
