Data	Concentra_up	Concentra_down
1/1/2014	11.00	11.00
1/2/2014	10.58	10.58
1/3/2014	16.58	16.58
1/4/2014	16.50	16.50
1/5/2014	16.75	16.75
1/6/2014	20.83	20.83
1/7/2014	31.63	31.63
1/8/2014	31.71	31.71
1/9/2014	25.50	25.50
1/10/2014	27.33	27.33
1/11/2014	21.13	21.13
1/12/2014	25.42	25.42
1/13/2014	16.75	16.75
1/14/2014	19.92	19.92
1/15/2014	13.58	13.58
1/16/2014	15.58	15.58
1/17/2014	13.88	13.88
1/18/2014	15.08	15.08
1/19/2014	16.29	16.29
1/20/2014	22.75	22.75
1/21/2014	19.08	19.08
1/22/2014	15.33	15.33
1/23/2014	12.08	12.08
1/24/2014	17.67	17.67
1/25/2014	8.92	8.92
1/26/2014	21.63	21.63
1/27/2014	20.88	20.88
1/28/2014	22.71	22.71
1/29/2014	24.08	24.08
1/30/2014	33.46	33.46
1/31/2014	36.71	36.71
2/1/2014	35.46	35.46
2/2/2014	27.42	27.42
2/3/2014	27.04	27.04
2/4/2014	29.63	29.63
2/5/2014	38.38	38.38
2/6/2014	27.50	27.50
2/7/2014	27.79	27.79
2/8/2014	29.63	29.63
2/9/2014	17.75	17.75
2/10/2014	25.75	25.75
2/11/2014	26.67	26.67
2/12/2014	29.25	29.25
2/13/2014	33.67	33.67
2/14/2014	14.50	14.50
2/15/2014	11.54	11.54
2/16/2014	9.79	9.79
2/17/2014	15.58	15.58
2/18/2014	16.63	16.63
2/19/2014	15.63	15.63
2/20/2014	23.25	23.25
2/21/2014	22.58	22.58
2/22/2014	15.83	15.83
2/23/2014	13.42	13.42
2/24/2014	10.67	10.67
2/25/2014	15.33	15.33
2/26/2014	16.88	16.88
2/27/2014	27.54	27.54
2/28/2014	14.33	14.33
3/1/2014	9.17	9.17
3/2/2014	10.38	10.38
3/3/2014	15.33	15.33
3/4/2014	14.92	14.92
3/5/2014	10.71	10.71
3/6/2014	12.96	12.96
3/7/2014	10.00	10.00
3/8/2014	12.79	12.79
3/9/2014	11.46	11.46
3/10/2014	17.92	17.92
3/11/2014	18.33	18.33
3/12/2014	15.08	15.08
3/13/2014	24.17	24.17
3/14/2014	21.75	21.75
3/15/2014	20.08	20.08
3/16/2014	22.50	22.50
3/17/2014	26.71	26.71
3/18/2014	33.46	33.46
3/19/2014	28.96	28.96
3/20/2014	26.92	26.92
3/21/2014	21.79	21.79
3/22/2014	8.88	8.88
3/23/2014	12.96	12.96
3/24/2014	16.08	16.08
3/25/2014	24.04	24.04
3/26/2014	22.13	22.13
3/27/2014	39.79	39.79
3/28/2014	31.83	31.83
3/29/2014	30.83	30.83
3/30/2014	20.50	20.50
3/31/2014	9.50	9.50
4/1/2014	24.00	24.00
4/2/2014	23.88	23.88
4/3/2014	30.71	30.71
4/4/2014	22.75	22.75
4/5/2014	19.71	19.71
4/6/2014	26.13	26.13
4/7/2014	30.70	30.70
4/8/2014	46.33	46.33
4/9/2014	45.04	45.04
4/10/2014	46.58	46.58
4/11/2014	40.33	40.33
4/12/2014	21.71	21.71
4/13/2014	10.33	10.33
4/14/2014	21.83	21.83
4/15/2014	14.88	14.88
4/16/2014	14.71	14.71
4/17/2014	25.58	25.58
4/18/2014	30.46	30.46
4/19/2014	27.79	27.79
4/20/2014	24.54	24.54
4/21/2014	22.33	22.33
4/22/2014	24.50	24.50
4/23/2014	26.58	26.58
4/24/2014	24.38	24.38
4/25/2014	22.33	22.33
4/26/2014	20.08	20.08
4/27/2014	20.88	20.88
4/28/2014	26.42	26.42
4/29/2014	29.46	29.46
4/30/2014	42.83	42.83
5/1/2014	42.71	42.71
5/2/2014	42.25	42.25
5/3/2014	43.25	43.25
5/4/2014	38.63	38.63
5/5/2014	65.17	65.17
5/6/2014	52.54	52.54
5/7/2014	49.63	49.63
5/8/2014	49.71	49.71
5/9/2014	39.96	39.96
5/10/2014	39.88	39.88
5/11/2014	23.83	23.83
5/12/2014	41.17	41.17
5/13/2014	54.42	54.42
5/14/2014	59.21	59.21
5/15/2014	100.25	100.25
5/16/2014	68.21	68.21
5/17/2014	56.17	56.17
5/18/2014	66.54	66.54
5/19/2014	56.00	56.00
5/20/2014	64.83	64.83
5/21/2014	64.67	64.67
5/22/2014	55.92	55.92
5/23/2014	11.88	11.88
5/24/2014	11.04	11.04
5/25/2014	18.33	18.33
5/26/2014	19.79	19.79
5/27/2014	17.21	17.21
5/28/2014	19.96	19.96
5/29/2014	26.21	26.21
5/30/2014	25.96	25.96
5/31/2014	33.79	33.79
6/1/2014	29.58	29.58
6/2/2014	17.83	17.83
6/3/2014	27.21	27.21
6/4/2014	37.79	37.79
6/5/2014	48.08	48.08
6/6/2014	56.17	56.17
6/7/2014	45.96	45.96
6/8/2014	55.75	55.75
6/9/2014	56.13	56.13
6/10/2014	40.13	40.13
6/11/2014	28.17	28.17
6/12/2014	37.17	37.17
6/13/2014	36.46	36.46
6/14/2014	42.63	42.63
6/15/2014	38.08	38.08
6/16/2014	46.33	46.33
6/17/2014	47.00	47.00
6/18/2014	57.21	57.21
6/19/2014	29.75	29.75
6/20/2014	34.67	34.67
6/21/2014	47.71	47.71
6/22/2014	49.29	49.29
6/23/2014	58.83	58.83
6/24/2014	53.58	53.58
6/25/2014	66.79	66.79
6/26/2014	69.50	69.50
6/27/2014	68.08	68.08
6/28/2014	60.13	60.13
6/29/2014	25.29	25.29
6/30/2014	22.25	22.25
7/1/2014	38.33	38.33
7/2/2014	64.04	64.04
7/3/2014	56.21	56.21
7/4/2014	55.46	55.46
7/5/2014	45.42	45.42
7/6/2014	51.17	51.17
7/7/2014	58.33	58.33
7/8/2014	48.21	48.21
7/9/2014	25.13	25.13
7/10/2014	12.00	12.00
7/11/2014	19.25	19.25
7/12/2014	18.21	18.21
7/13/2014	17.08	17.08
7/14/2014	21.46	21.46
7/15/2014	30.29	30.29
7/16/2014	41.75	41.75
7/17/2014	59.38	59.38
7/18/2014	34.29	34.29
7/19/2014	23.08	23.08
7/20/2014	41.46	41.46
7/21/2014	59.54	59.54
7/22/2014	48.17	48.17
7/23/2014	64.08	64.08
7/24/2014	44.75	44.75
7/25/2014	11.88	11.88
7/26/2014	20.92	20.92
7/27/2014	15.67	15.67
7/28/2014	17.83	17.83
7/29/2014	18.04	18.04
7/30/2014	20.58	20.58
7/31/2014	30.92	30.92
8/1/2014	40.17	40.17
8/2/2014	47.50	47.50
8/3/2014	37.83	37.83
8/4/2014	56.25	56.25
8/5/2014	66.71	66.71
8/6/2014	40.50	40.50
8/7/2014	50.42	50.42
8/8/2014	63.33	63.33
8/9/2014	29.88	29.88
8/10/2014	41.92	41.92
8/11/2014	57.71	57.71
8/12/2014	60.79	60.79
8/13/2014	68.21	68.21
8/14/2014	32.71	32.71
8/15/2014	34.42	34.42
8/16/2014	45.96	45.96
8/17/2014	33.58	33.58
8/18/2014	39.50	39.50
8/19/2014	36.21	36.21
8/20/2014	47.83	47.83
8/21/2014	63.21	63.21
8/22/2014	64.58	64.58
8/23/2014	59.92	59.92
8/24/2014	54.33	54.33
8/25/2014	76.54	76.54
8/26/2014	107.58	107.58
8/27/2014	51.42	51.42
8/28/2014	75.92	75.92
8/29/2014	57.75	57.75
8/30/2014	56.46	56.46
8/31/2014	82.17	82.17
9/1/2014	30.17	30.17
9/2/2014	50.54	50.54
9/3/2014	14.04	14.04
9/4/2014	22.46	22.46
9/5/2014	20.42	20.42
9/6/2014	36.00	36.00
9/7/2014	42.88	42.88
9/8/2014	47.21	47.21
9/9/2014	0.00	0.00
9/10/2014	70.93	70.93
9/11/2014	53.33	53.33
9/12/2014	62.96	62.96
9/13/2014	59.08	59.08
9/14/2014	56.71	56.71
9/15/2014	69.88	69.88
9/16/2014	62.50	62.50
9/17/2014	73.79	73.79
9/18/2014	75.00	75.00
9/19/2014	98.63	98.63
9/20/2014	23.50	23.50
9/21/2014	15.29	15.29
9/22/2014	28.92	28.92
9/23/2014	34.83	34.83
9/24/2014	57.17	57.17
9/25/2014	21.21	21.21
9/26/2014	27.04	27.04
9/27/2014	20.04	20.04
9/28/2014	39.25	39.25
9/29/2014	42.17	42.17
9/30/2014	26.46	26.46
10/1/2014	40.13	40.13
10/2/2014	41.54	41.54
10/3/2014	33.67	33.67
10/4/2014	30.50	30.50
10/5/2014	33.04	33.04
10/6/2014	33.83	33.83
10/7/2014	52.33	52.33
10/8/2014	55.25	55.25
10/9/2014	64.33	64.33
10/10/2014	65.96	65.96
10/11/2014	70.63	70.63
10/12/2014	75.08	75.08
10/13/2014	83.13	83.13
10/14/2014	85.29	85.29
10/15/2014	90.21	90.21
10/16/2014	96.71	96.71
10/17/2014	128.29	128.29
10/18/2014	94.79	94.79
10/19/2014	76.65	76.65
10/20/2014	33.29	33.29
10/21/2014	36.71	36.71
10/22/2014	44.04	44.04
10/23/2014	42.04	42.04
10/24/2014	30.58	30.58
10/25/2014	21.46	21.46
10/26/2014	15.42	15.42
10/27/2014	21.58	21.58
10/28/2014	38.96	38.96
10/29/2014	55.95	55.95
10/30/2014	60.75	60.75
10/31/2014	48.50	48.50
11/1/2014	32.42	32.42
11/2/2014	17.17	17.17
11/3/2014	21.17	21.17
11/4/2014	14.79	14.79
11/5/2014	15.04	15.04
11/6/2014	19.33	19.33
11/7/2014	23.63	23.63
11/8/2014	18.29	18.29
11/9/2014	21.58	21.58
11/10/2014	25.96	25.96
11/11/2014	50.29	50.29
11/12/2014	63.75	63.75
11/13/2014	34.54	34.54
11/14/2014	23.96	23.96
11/15/2014	23.00	23.00
11/16/2014	21.58	21.58
11/17/2014	30.08	30.08
11/18/2014	35.54	35.54
11/19/2014	37.21	37.21
11/20/2014	42.21	42.21
11/21/2014	48.33	48.33
11/22/2014	35.38	35.38
11/23/2014	25.25	25.25
11/24/2014	19.75	19.75
11/25/2014	8.92	8.92
11/26/2014	11.21	11.21
11/27/2014	18.92	18.92
11/28/2014	24.75	24.75
11/29/2014	13.58	13.58
11/30/2014	6.83	6.83
12/1/2014	14.08	14.08
12/2/2014	12.00	12.00
12/3/2014	15.96	15.96
12/4/2014	19.50	19.50
12/5/2014	22.79	22.79
12/6/2014	19.88	19.88
12/7/2014	17.79	17.79
12/8/2014	16.71	16.71
12/9/2014	11.71	11.71
12/10/2014	12.29	12.29
12/11/2014	11.83	11.83
12/12/2014	12.33	12.33
12/13/2014	6.08	6.08
12/14/2014	9.38	9.38
12/15/2014	19.75	19.75
12/16/2014	23.67	23.67
12/17/2014	28.46	28.46
12/18/2014	37.21	37.21
12/19/2014	17.79	17.79
12/20/2014	19.25	19.25
12/21/2014	11.29	11.29
12/22/2014	12.50	12.50
12/23/2014	5.96	5.96
12/24/2014	8.00	8.00
12/25/2014	12.63	12.63
12/26/2014	15.88	15.88
12/27/2014	35.79	35.79
12/28/2014	19.25	19.25
12/29/2014	17.88	17.88
12/30/2014	14.71	14.71
12/31/2014	14.45	14.45
1/1/2015	15.83	15.83
1/2/2015	12.25	12.25
1/3/2015	13.58	13.58
1/4/2015	8.08	8.08
1/5/2015	14.38	14.38
1/6/2015	11.29	11.29
1/7/2015	21.00	21.00
1/8/2015	18.38	18.38
1/9/2015	24.83	24.83
1/10/2015	24.13	24.13
1/11/2015	23.33	23.33
1/12/2015	16.63	16.63
1/13/2015	22.58	22.58
1/14/2015	34.67	34.67
1/15/2015	34.63	34.63
1/16/2015	35.08	35.08
1/17/2015	39.04	39.04
1/18/2015	36.13	36.13
1/19/2015	53.38	53.38
1/20/2015	57.79	57.79
1/21/2015	25.46	25.46
1/22/2015	14.83	14.83
