Data	Concentra_up	Concentra_down
1/1/2014	37.79	37.79
1/2/2014	27.17	27.17
1/3/2014	34.75	34.75
1/4/2014	26.58	26.58
1/5/2014	24.33	24.33
1/6/2014	34.38	34.38
1/7/2014	37.38	37.38
1/8/2014	43.79	43.79
1/9/2014	41.25	41.25
1/10/2014	39.79	39.79
1/11/2014	43.42	43.42
1/12/2014	33.67	33.67
1/13/2014	25.00	25.00
1/14/2014	34.50	34.50
1/15/2014	27.33	27.33
1/16/2014	31.29	31.29
1/17/2014	31.38	31.38
1/18/2014	24.92	24.92
1/19/2014	27.29	27.29
1/20/2014	25.24	25.24
1/21/2014	31.50	31.50
1/22/2014	39.79	39.79
1/23/2014	32.92	32.92
1/24/2014	24.21	24.21
1/25/2014	25.58	25.58
1/26/2014	25.96	25.96
1/27/2014	28.25	28.25
1/28/2014	34.08	34.08
1/29/2014	42.71	42.71
1/30/2014	41.33	41.33
1/31/2014	57.00	57.00
2/1/2014	46.08	46.08
2/2/2014	35.00	35.00
2/3/2014	38.58	38.58
2/4/2014	49.88	49.88
2/5/2014	50.35	50.35
2/6/2014	40.13	40.13
2/7/2014	45.29	45.29
2/8/2014	37.75	37.75
2/9/2014	42.92	42.92
2/10/2014	41.54	41.54
2/11/2014	38.63	38.63
2/12/2014	45.13	45.13
2/13/2014	55.13	55.13
2/14/2014	41.21	41.21
2/15/2014	21.71	21.71
2/16/2014	17.50	17.50
2/17/2014	15.63	15.63
2/18/2014	20.79	20.79
2/19/2014	25.00	25.00
2/20/2014	39.67	39.67
2/21/2014	34.42	34.42
2/22/2014	27.67	27.67
2/23/2014	48.29	48.29
2/24/2014	24.88	24.88
2/25/2014	37.29	37.29
2/26/2014	37.71	37.71
2/27/2014	38.42	38.42
2/28/2014	29.38	29.38
3/1/2014	18.29	18.29
3/2/2014	21.33	21.33
3/3/2014	22.67	22.67
3/4/2014	37.26	37.26
3/5/2014	29.79	29.79
3/6/2014	25.13	25.13
3/7/2014	24.00	24.00
3/8/2014	33.29	33.29
3/9/2014	30.79	30.79
3/10/2014	45.92	45.92
3/11/2014	51.21	51.21
3/12/2014	26.83	26.83
3/13/2014	31.46	31.46
3/14/2014	41.67	41.67
3/15/2014	39.96	39.96
3/16/2014	41.46	41.46
3/17/2014	51.00	51.00
3/18/2014	51.63	51.63
3/19/2014	54.17	54.17
3/20/2014	52.08	52.08
3/21/2014	35.54	35.54
3/22/2014	29.50	29.50
3/23/2014	24.58	24.58
3/24/2014	32.96	32.96
3/25/2014	41.09	41.09
3/26/2014	32.96	32.96
3/27/2014	24.10	24.10
3/28/2014	24.95	24.95
3/29/2014	30.23	30.23
3/30/2014	31.40	31.40
3/31/2014	37.86	37.86
4/1/2014	54.83	54.83
4/2/2014	0.00	0.00
4/3/2014	0.00	0.00
4/4/2014	0.00	0.00
4/5/2014	0.00	0.00
4/6/2014	0.00	0.00
4/7/2014	37.29	37.29
4/8/2014	75.21	75.21
4/9/2014	92.04	92.04
4/10/2014	40.13	40.13
4/11/2014	43.04	43.04
4/12/2014	45.63	45.63
4/13/2014	17.04	17.04
4/14/2014	16.83	16.83
4/15/2014	33.42	33.42
4/16/2014	22.00	22.00
4/17/2014	32.54	32.54
4/18/2014	33.46	33.46
4/19/2014	44.88	44.88
4/20/2014	25.46	25.46
4/21/2014	25.46	25.46
4/22/2014	33.54	33.54
4/23/2014	47.92	47.92
4/24/2014	28.63	28.63
4/25/2014	36.42	36.42
4/26/2014	29.42	29.42
4/27/2014	22.46	22.46
4/28/2014	30.17	30.17
4/29/2014	43.04	43.04
4/30/2014	64.25	64.25
5/1/2014	54.04	54.04
5/2/2014	73.92	73.92
5/3/2014	59.92	59.92
5/4/2014	46.08	46.08
5/5/2014	78.71	78.71
5/6/2014	75.42	75.42
5/7/2014	81.04	81.04
5/8/2014	82.38	82.38
5/9/2014	55.00	55.00
5/10/2014	43.17	43.17
5/11/2014	27.00	27.00
5/12/2014	44.13	44.13
5/13/2014	62.46	62.46
5/14/2014	66.04	66.04
5/15/2014	68.75	68.75
5/16/2014	78.13	78.13
5/17/2014	30.17	30.17
5/18/2014	45.71	45.71
5/19/2014	59.71	59.71
5/20/2014	56.83	56.83
5/21/2014	82.13	82.13
5/22/2014	68.70	68.70
5/23/2014	29.54	29.54
5/24/2014	17.29	17.29
5/25/2014	22.08	22.08
5/26/2014	45.58	45.58
5/27/2014	27.75	27.75
5/28/2014	25.25	25.25
5/29/2014	23.25	23.25
5/30/2014	35.75	35.75
5/31/2014	51.04	51.04
6/1/2014	49.04	49.04
6/2/2014	37.88	37.88
6/3/2014	63.63	63.63
6/4/2014	81.50	81.50
6/5/2014	50.25	50.25
6/6/2014	74.67	74.67
6/7/2014	54.92	54.92
6/8/2014	37.33	37.33
6/9/2014	24.46	24.46
6/10/2014	29.54	29.54
6/11/2014	40.83	40.83
6/12/2014	43.63	43.63
6/13/2014	57.13	57.13
6/14/2014	37.96	37.96
6/15/2014	53.63	53.63
6/16/2014	69.50	69.50
6/17/2014	48.75	48.75
6/18/2014	19.58	19.58
6/19/2014	28.63	28.63
6/20/2014	36.92	36.92
6/21/2014	41.54	41.54
6/22/2014	72.88	72.88
6/23/2014	85.50	85.50
6/24/2014	88.38	88.38
6/25/2014	91.50	91.50
6/26/2014	102.48	102.48
6/27/2014	80.96	80.96
6/28/2014	62.63	62.63
6/29/2014	33.79	33.79
6/30/2014	62.00	62.00
7/1/2014	71.79	71.79
7/2/2014	93.13	93.13
7/3/2014	83.42	83.42
7/4/2014	70.79	70.79
7/5/2014	63.13	63.13
7/6/2014	65.58	65.58
7/7/2014	17.83	17.83
7/8/2014	18.29	18.29
7/9/2014	16.71	16.71
7/10/2014	18.83	18.83
7/11/2014	17.96	17.96
7/12/2014	27.46	27.46
7/13/2014	31.13	31.13
7/14/2014	48.29	48.29
7/15/2014	43.54	43.54
7/16/2014	24.00	24.00
7/17/2014	34.50	34.50
7/18/2014	17.17	17.17
7/19/2014	21.63	21.63
7/20/2014	33.25	33.25
7/21/2014	55.21	55.21
7/22/2014	58.92	58.92
7/23/2014	48.67	48.67
7/24/2014	23.54	23.54
7/25/2014	31.50	31.50
7/26/2014	12.04	12.04
7/27/2014	16.13	16.13
7/28/2014	22.50	22.50
7/29/2014	30.50	30.50
7/30/2014	33.25	33.25
7/31/2014	53.25	53.25
8/1/2014	50.67	50.67
8/2/2014	55.04	55.04
8/3/2014	56.54	56.54
8/4/2014	25.33	25.33
8/5/2014	42.83	42.83
8/6/2014	72.79	72.79
8/7/2014	40.00	40.00
8/8/2014	15.25	15.25
8/9/2014	40.29	40.29
8/10/2014	65.79	65.79
8/11/2014	76.21	76.21
8/12/2014	35.88	35.88
8/13/2014	15.25	15.25
8/14/2014	22.46	22.46
8/15/2014	28.00	28.00
8/16/2014	27.13	27.13
8/17/2014	32.38	32.38
8/18/2014	23.33	23.33
8/19/2014	30.88	30.88
8/20/2014	47.08	47.08
8/21/2014	54.63	54.63
8/22/2014	60.67	60.67
8/23/2014	61.54	61.54
8/24/2014	74.92	74.92
8/25/2014	73.86	73.86
8/26/2014	27.17	27.17
8/27/2014	23.33	23.33
8/28/2014	28.88	28.88
8/29/2014	36.08	36.08
8/30/2014	52.00	52.00
8/31/2014	12.00	12.00
9/1/2014	41.77	41.77
9/2/2014	19.00	19.00
9/3/2014	14.67	14.67
9/4/2014	23.00	23.00
9/5/2014	38.54	38.54
9/6/2014	44.96	44.96
9/7/2014	46.13	46.13
9/8/2014	56.38	56.38
9/9/2014	76.64	76.64
9/10/2014	61.33	61.33
9/11/2014	8.00	8.00
9/12/2014	44.38	44.38
9/13/2014	49.50	49.50
9/14/2014	66.38	66.38
9/15/2014	44.75	44.75
9/16/2014	33.82	33.82
9/17/2014	46.04	46.04
9/18/2014	27.79	27.79
9/19/2014	34.75	34.75
9/20/2014	16.50	16.50
9/21/2014	16.83	16.83
9/22/2014	0.00	0.00
9/23/2014	49.83	49.83
9/24/2014	32.42	32.42
9/25/2014	35.08	35.08
9/26/2014	19.67	19.67
9/27/2014	15.83	15.83
9/28/2014	0.00	0.00
9/29/2014	31.29	31.29
9/30/2014	0.00	0.00
10/1/2014	31.63	31.63
10/2/2014	23.33	23.33
