date	concentracaoA	concentracaoB
3/2/2004	2.35	13.91
3/4/2004	25.39	13.85
4/20/2004	21.96	22.51
4/21/2004	18.09	19.06
4/28/2004	21.03	41.3
5/6/2004	17.52	33.27
5/17/2004	14.15	48.34
5/20/2004	32.94	45.27
5/24/2004	33.77	14.94
5/26/2004	27.86	17.27
6/8/2004	16.19	45.17
6/14/2004	48.49	25.52
6/16/2004	16.19	34.49
6/28/2004	76.8	50.01
6/30/2004	58.08	22.69
7/5/2004	24.25	82.8
7/7/2004	42.27	56.13
7/21/2004	13.89	45.15
7/26/2004	30.07	17.56
8/5/2004	32.14	42.71
8/9/2004	31.77	30.35
8/11/2004	44.89	37.53
8/16/2004	19.94	29.1
8/18/2004	44.31	33.02
8/25/2004	52.72	85.05
8/30/2004	52.93	38.32
9/1/2004	40.81	23.5
9/15/2004	73.7	49.49
9/21/2004	41.17	16.02
9/23/2004	124.43	27.78
10/4/2004	30.63	19.3
10/6/2004	26.65	30.67
10/13/2004	31.22	58.42
10/18/2004	22.22	50.06
10/25/2004	14.65	11.43
10/28/2004	31.01	31.9
11/10/2004	44.76	22.43
11/25/2004	43.06	10.79
12/9/2004	24.91	7.04
12/15/2004	27.25	24.35
1/31/2005	16.78	14.4
2/10/2005	46.58	10.59
2/21/2005	27.04	20.48
2/23/2005	30.6	15.07
2/28/2005	24.03	12.55
3/2/2005	27.1	22.66
3/21/2005	14.75	10.79
3/23/2005	16.35	16.04
4/13/2005	34.54	33.85
4/18/2005	35.21	40.38
4/27/2005	21.82	45.12
