Data	Concentracao	Precipitacao	Velocidade_vento	Direcao_vento	Temperatura	Umidade
4/18/2016	22.55	0.00	0.12	155.73	24.98	62.67
4/20/2016	25.10	0.00	0.20	152.95	24.42	64.41
4/22/2016	39.82	0.00	0.05	107.21	23.76	63.03
4/26/2016	12.72	0.25	0.47	233.98	20.97	78.98
4/28/2016	19.85	0.00	0.07	118.26	15.87	87.46
5/2/2016	25.33	0.00	0.20	133.79	16.43	33.42
5/4/2016	33.36	0.00	0.06	77.52	21.17	56.85
5/6/2016	35.62	0.00	0.17	108.73	21.14	63.22
5/9/2016	10.01	0.00	0.27	163.55	22.53	68.09
5/12/2016	25.55	0.00	0.13	169.39	20.69	86.01
5/16/2016	15.44	3.45	0.29	170.50	20.84	86.06
5/18/2016	24.45	0.00	0.02	82.87	19.04	86.22
5/20/2016	15.77	0.85	0.52	269.66	22.85	75.34
5/24/2016	14.05	0.00	0.28	227.36	16.75	68.63
5/26/2016	20.15	0.00	0.03	224.28	18.74	77.77
5/30/2016	10.92	3.00	0.07	175.54	15.78	94.08
6/1/2016	14.65	3.40	1.00	36.00	18.95	90.00
6/3/2016	10.75	37.90	1.00	36.00	17.39	98.00
6/7/2016	10.62	16.80	1.00	34.00	15.8	96.00
6/9/2016	21.37	0.00	0.50	7.00	12.01	83.00
6/13/2016	18.49	0.00	1.55	9.00	12.43	47.00
6/15/2016	28.96	0.00	0.50	4.50	17.19	78.50
6/17/2016	24.67	0.00	0.50	9.00	16.57	67.00
6/21/2016	14.50	0.00	3.10	18.00	15.60	82.50
6/23/2016	31.76	0.00	1.00	13.50	17.58	85.50
6/27/2016	13.58	0.00	1.55	9.00	15.95	66.00
6/29/2016	17.15	0.00	1.55	4.50	17.59	78.50
7/1/2016	16.13	0.00	1.00	9.00	18.88	76.00
7/5/2016	19.16	0.00	0.50	2.50	19.84	72.50
7/7/2016	18.55	0.00	1.00	31.50	14.89	73.50
7/11/2016	32.05	0.00	0.50	36.00	20.23	56.00
7/13/2016	32.42	0.00	0.50	4.50	20.96	62.50
7/15/2016	47.36	0.00	0.00	0.00	20.75	61.00
7/19/2016	27.08	0.00	1.00	11.50	13.66	70.50
7/21/2016	37.21	0.00	1.00	11.50	16.19	65.50
7/25/2016	26.27	0.00	0.50	9.00	19.85	53.00
7/27/2016	40.27	0.00	1.00	36.00	21.05	60.50
7/29/2016	38.88	0.00	1.00	16.00	18.30	63.00
8/2/2016	34.77	0.00	0.50	7.00	19.38	62.00
8/4/2016	31.35	0.00	1.55	4.50	19.51	66.50
8/8/2016	48.79	0.00	0.00	0.00	21.41	69.00
8/10/2016	24.99	0.00	2.05	16.00	15.19	77.00
8/12/2016	31.58	0.00	3.10	16.00	14.90	69.00
8/16/2016	25.07	5.50	2.55	27.00	17.78	85.00
8/18/2016	30.54	0.00	0.00	0.00	22.11	64.50
8/24/2016	23.73	0.00	3.05	9.00	18.87	66.00
8/26/2016	28.03	0.00	0.50	4.50	19.63	57.50
8/30/2016	28.90	0.00	2.05	22.50	21.10	65.50
9/1/2016	21.66	5.40	0.50	4.50	18.36	90.50
9/5/2016	24.34	0.00	0.50	9.00	21.73	64.00
9/9/2016	18.82	0.40	1.00	9.50	17.59	68.50
9/13/2016	54.77	0.00	2.05	7.00	25.28	43.00
