Data	Concentracao	Precipitacao	Velocidade_vento	Direcao_vento	Temperatura	Umidade
4/18/2017	18.02	2.90	2.58	119.32	19.76	72.60
4/20/2017	20.50	0.00	2.64	84.76	22.24	69.44
4/24/2017	13.25	0.00	1.79	81.72	20.26	76.28
4/26/2017	15.93	1.01	1.70	110.12	18.94	89.68
5/2/2017	14.95	0.00	1.73	95.08	19.34	73.16
5/4/2017	19.07	0.00	2.19	70.68	20.49	74.08
5/6/2017	11.39	0.01	1.44	112.84	18.29	78.32
5/8/2017	17.88	0.00	1.06	141.20	17.72	71.68
5/10/2017	21.51	0.00	1.72	114.56	19.82	70.36
5/12/2017	19.62	0.00	1.81	82.04	19.05	73.60
5/16/2017	25.91	0.00	1.67	124.44	19.02	71.65
5/18/2017	13.30	0.74	2.38	88.44	18.08	87.64
5/22/2017	13.49	0.02	1.67	160.32	18.96	88.00
5/24/2017	14.24	0.00	1.82	79.44	20.25	76.84
5/26/2017	20.58	0.00	1.18	124.76	21.47	73.04
5/30/2017	26.93	0.00	1.32	100.40	19.33	74.52
6/1/2017	15.74	0.01	1.82	278.72	15.87	88.12
6/3/2017	22.25	0.00	0.88	130.20	17.05	72.28
6/5/2017	22.92	0.02	1.45	73.84	20.39	79.80
6/7/2017	26.47	0.00	1.23	76.64	21.69	67.56
6/9/2017	12.62	0.03	1.58	239.36	15.91	84.40
6/13/2017	12.40	0.26	1.38	95.88	16.92	86.00
6/17/2017	19.71	0.00	1.56	124.04	17.54	64.64
6/22/2017	15.60	0.00	2.60	75.24	18.00	66.92
6/24/2017	17.53	0.00	1.88	91.32	16.74	70.28
6/26/2017	12.54	0.00	2.57	70.32	17.28	65.68
6/28/2017	16.20	0.00	1.57	96.48	17.59	71.24
6/30/2017	28.62	0.00	1.38	140.52	19.01	59.28
7/10/2017	22.37	3.01	1.39	73.71	20.74	69.34
7/20/2017	22.37	3.01	1.39	73.71	20.74	69.34
7/30/2017	22.37	3.01	1.39	73.71	20.74	69.34
8/3/2017	37.30	0.00	2.18	248.28	16.04	65.48
8/5/2017	2.54	0.00	3.20	122.88	14.75	69.96
8/9/2017	44.12	0.00	1.29	214.88	22.07	46.28
8/11/2017	20.59	0.00	2.19	101.40	20.46	49.00
8/17/2017	35.81	0.09	1.59	109.28	15.98	90.20
8/21/2017	4.95	0.01	4.54	122.12	13.66	80.64
8/23/2017	52.52	0.00	2.82	80.36	19.79	63.20
8/29/2017	41.22	0.00	1.68	197.80	22.13	40.92
8/31/2017	33.46	0.00	2.93	137.36	20.26	61.16
9/2/2017	16.07	0.00	2.53	281.56	20.46	55.52
9/4/2017	88.47	0.00	2.31	296.48	20.46	38.56
9/6/2017	88.47	0.00	2.31	296.48	20.46	38.56
9/8/2017	50.24	0.00	1.68	288.48	23.18	33.28
9/12/2017	40.57	0.00	2.25	309.36	23.66	39.12
9/14/2017	46.16	0.00	2.31	232.80	24.33	34.64
9/16/2017	35.13	0.00	2.27	248.96	24.25	30.88
9/18/2017	59.16	0.00	1.56	238.60	24.26	41.44
9/20/2017	48.84	0.00	2.50	280.60	24.37	38.56
9/22/2017	20.47	0.00	2.52	263.28	23.53	35.68
9/26/2017	91.50	0.00	2.16	271.04	22.03	46.80
9/30/2017	13.62	0.87	2.08	211.60	17.32	89.56
10/2/2017	11.50	0.88	1.73	225.68	17.98	82.52
10/6/2017	25.50	0.00	1.97	252.80	25.75	52.00
10/10/2017	25.69	0.01	1.80	278.52	26.36	47.00
10/12/2017	29.76	10.10	1.64	255.08	27.05	43.92
10/23/2017	15.02	0.00	2.30	165.96	18.22	80.60
10/25/2017	21.45	0.00	2.01	261.24	24.39	60.20
10/27/2017	18.58	1.78	2.49	210.28	20.66	77.92
10/31/2017	6.00	24.00	2.23	202.48	19.51	79.32
11/4/2017	10.12	1.47	2.97	244.56	20.90	81.32
11/6/2017	13.86	0.00	2.53	169.08	19.49	78.44
11/8/2017	17.06	0.42	1.88	295.88	21.60	72.84
11/10/2017	12.01	1.35	2.23	269.32	22.58	76.68
11/21/2017	11.12	1.15	2.17	201.00	21.34	87.00
11/23/2017	18.32	0.30	1.78	218.00	21.40	72.72
11/25/2017	13.61	0.30	2.65	258.28	23.61	69.08
