Data	Concentracao
09/23/1997	40.58
09/25/1997	25.17
09/30/1997	44.63
10/04/1997	38.62
10/08/1997	27.66
10/09/1997	40.05
10/14/1997	52.41
10/16/1997	24.31
10/21/1997	31.33
10/23/1997	41.14
10/28/1997	33.07
10/29/1997	35.01
11/04/1997	29.82
11/06/1997	26.46
11/11/1997	20.74
11/13/1997	12.11
11/17/1997	15.34
11/19/1997	21.16
11/25/1997	22.38
11/27/1997	16.64
12/02/1997	30.90
12/04/1997	22.80
12/09/1997	19.70
12/11/1997	22.30
12/15/1997	24.43
12/18/1997	13.81
12/23/1997	32.83
12/25/1997	13.21
12/30/1997	20.20
01/01/1998	29.38
01/06/1998	36.55
01/08/1998	24.30
01/13/1998	19.70
01/15/1998	18.30
01/20/1998	12.64
01/22/1998	21.06
01/27/1998	18.23
01/29/1998	22.55
02/03/1998	20.17
02/05/1998	17.69
02/10/1998	18.70
02/12/1998	17.64
02/16/1998	18.31
02/18/1998	28.19
02/24/1998	23.20
02/26/1998	19.90
03/03/1998	19.46
03/05/1998	30.30
03/10/1998	35.02
03/12/1998	23.52
03/17/1998	22.17
03/19/1998	25.40
03/24/1998	20.80
03/25/1998	26.04
03/31/1998	18.98
04/02/1998	27.13
04/07/1998	23.45
04/09/1998	20.21
04/14/1998	39.63
04/16/1998	38.96
04/21/1998	31.71
04/23/1998	24.15
04/28/1998	15.93
04/30/1998	23.65
05/05/1998	14.85
