Data	Concentracao
11/28/2000	16.52
11/30/2000	15.60
12/04/2000	19.56
12/07/2000	32.01
12/13/2000	16.20
12/15/2000	25.45
12/20/2000	25.68
12/22/2000	21.08
12/27/2000	16.30
12/29/2000	21.26
01/04/2001	13.82
01/06/2001	21.26
01/08/2001	21.26
01/15/2001	24.34
01/17/2001	33.64
01/29/2001	19.44
01/31/2001	16.40
02/06/2001	15.56
02/08/2001	14.75
02/15/2001	31.72
02/17/2001	12.50
02/23/2001	28.50
02/26/2001	22.86
03/01/2001	32.78
03/05/2001	19.40
03/07/2001	16.26
03/12/2001	17.49
03/15/2001	32.89
03/19/2001	27.84
03/23/2001	34.09
03/27/2001	25.23
03/29/2001	27.00
04/04/2001	29.25
04/07/2001	29.97
04/11/2001	30.68
04/14/2001	30.29
04/16/2001	35.31
04/19/2001	46.80
04/23/2001	34.79
04/27/2001	38.98
04/30/2001	33.50
05/02/2001	31.85
