Data	Concentracao
05/07/2001	35.24
05/09/2001	14.75
05/14/2001	25.53
05/16/2001	12.09
05/21/2001	58.76
05/24/2001	54.70
05/29/2001	31.40
06/07/2001	54.17
06/11/2001	33.09
06/15/2001	48.94
06/18/2001	37.78
06/25/2001	42.82
06/30/2001	49.14
07/02/2001	81.77
07/04/2001	60.62
07/13/2001	40.53
07/17/2001	53.29
07/19/2001	75.45
07/24/2001	40.18
07/31/2001	43.83
08/03/2001	41.00
08/13/2001	40.00
08/17/2001	40.00
08/20/2001	40.00
08/22/2001	40.00
08/27/2001	40.00
08/30/2001	40.00
09/03/2001	40.00
09/10/2001	59.81
09/13/2001	46.09
09/18/2001	33.65
09/20/2001	45.31
09/26/2001	24.50
09/28/2001	33.65
10/01/2001	27.46
10/04/2001	33.53
10/15/2001	44.44
10/20/2001	15.00
10/22/2001	19.24
10/25/2001	39.27
10/29/2001	42.16
11/01/2001	32.92
11/07/2001	41.85
11/08/2001	31.75
11/17/2001	19.41
11/21/2001	0.00
11/24/2001	21.55
11/26/2001	35.21
12/03/2001	28.56
12/07/2001	17.74
12/10/2001	21.32
12/12/2001	33.64
12/18/2001	37.12
12/20/2001	15.97
12/26/2001	13.63
01/03/2002	28.48
01/09/2002	25.45
01/11/2002	29.13
01/15/2002	20.01
01/19/2002	13.76
01/21/2002	26.42
01/23/2002	24.46
01/28/2002	16.53
01/31/2002	17.44
02/04/2002	26.22
02/06/2002	15.48
02/11/2002	19.03
02/14/2002	21.76
02/18/2002	26.82
02/25/2002	27.91
03/04/2002	22.88
03/08/2002	28.63
03/13/2002	22.73
03/17/2002	17.80
03/23/2002	9.62
03/25/2002	21.84
03/27/2002	17.85
04/01/2002	31.97
04/04/2002	33.08
04/08/2002	29.07
04/10/2002	31.59
04/17/2002	20.22
04/24/2002	41.26
04/29/2002	45.34
05/03/2002	29.40
05/06/2002	24.58
05/13/2002	25.51
05/16/2002	24.70
05/22/2002	19.93
05/27/2002	40.90
05/29/2002	35.27
06/03/2002	39.48
06/10/2002	54.86
06/13/2002	62.34
06/18/2002	80.69
06/24/2002	52.49
06/27/2002	46.31
07/04/2002	47.90
07/06/2002	60.68
07/08/2002	52.77
07/11/2002	30.07
07/15/2002	59.92
07/19/2002	56.68
07/22/2002	27.04
07/24/2002	62.61
08/01/2002	26.10
08/05/2002	40.68
08/10/2002	63.22
08/12/2002	53.26
08/15/2002	72.13
08/19/2002	35.01
08/21/2002	51.98
08/26/2002	51.71
08/29/2002	29.20
09/15/2002	45.55
09/19/2002	44.87
09/23/2002	24.19
09/27/2002	46.34
09/30/2002	55.52
10/03/2002	49.78
10/07/2002	38.04
10/10/2002	58.04
10/13/2002	56.24
10/21/2002	40.64
10/25/2002	28.28
10/28/2002	17.73
10/31/2002	21.44
11/04/2002	26.16
11/14/2002	15.13
11/18/2002	19.62
11/25/2002	20.18
11/28/2002	34.57
12/02/2002	20.55
12/09/2002	19.23
12/10/2002	22.48
12/16/2002	16.33
12/23/2002	22.55
12/26/2002	10.51
12/30/2002	17.31
01/03/2003	24.79
01/06/2003	6.50
01/13/2003	20.93
01/16/2003	11.48
01/20/2003	16.11
01/23/2003	18.29
01/29/2003	20.20
02/01/2003	20.97
02/03/2003	12.34
02/06/2003	16.97
02/10/2003	14.45
02/19/2003	13.94
02/25/2003	7.77
02/27/2003	35.08
03/03/2003	28.94
03/07/2003	30.74
03/10/2003	9.65
03/13/2003	1.41
03/17/2003	28.87
03/18/2003	21.80
03/24/2003	14.79
03/25/2003	17.74
03/27/2003	27.06
04/02/2003	28.10
04/07/2003	41.69
04/10/2003	20.68
04/13/2003	19.23
04/16/2003	34.38
04/20/2003	44.68
04/25/2003	17.82
04/28/2003	31.69
05/02/2003	38.58
05/07/2003	15.15
05/10/2003	27.00
05/13/2003	30.30
05/16/2003	22.50
05/22/2003	43.76
05/26/2003	60.72
06/02/2003	49.55
06/05/2003	42.44
06/11/2003	49.37
06/16/2003	52.12
06/23/2003	9.58
06/25/2003	56.06
06/30/2003	70.14
07/04/2003	71.37
07/07/2003	30.90
07/14/2003	60.56
07/17/2003	94.71
07/30/2003	23.52
08/04/2003	37.29
08/11/2003	35.26
08/12/2003	54.81
08/19/2003	15.06
09/03/2003	40.59
09/08/2003	53.58
09/11/2003	18.90
09/15/2003	10.33
09/17/2003	19.49
09/22/2003	55.14
09/29/2003	35.39
10/01/2003	48.29
10/06/2003	34.54
10/08/2003	10.34
10/16/2003	52.44
10/20/2003	58.21
10/22/2003	41.41
10/28/2003	7.77
11/03/2003	16.84
11/05/2003	13.46
11/14/2003	26.10
11/19/2003	16.87
11/24/2003	44.20
11/25/2003	4.54
