Data	Concentracao
05/07/2004	17.52
05/17/2004	14.15
05/20/2004	32.94
05/24/2004	33.77
05/26/2004	27.86
06/08/2004	16.19
06/14/2004	48.49
06/16/2004	16.19
06/23/2004	19.93
06/28/2004	76.80
06/30/2004	58.08
07/05/2004	24.25
07/07/2004	42.27
07/14/2004	28.54
07/21/2004	13.89
07/26/2004	30.07
08/03/2004	75.99
08/05/2004	32.14
08/09/2004	31.77
08/11/2004	44.89
08/16/2004	19.94
08/18/2004	44.31
08/25/2004	52.72
08/30/2004	52.93
09/01/2004	40.81
09/15/2004	73.70
09/21/2004	41.17
09/23/2004	124.43
10/04/2004	30.63
10/06/2004	26.65
10/13/2004	31.22
10/18/2004	22.22
10/25/2004	14.65
10/28/2004	31.01
11/10/2004	44.76
11/25/2004	43.06
12/03/2004	50.53
12/09/2004	24.91
12/15/2004	27.25
01/31/2005	16.78
02/10/2005	46.58
02/14/2005	19.67
02/21/2005	27.04
02/23/2005	30.60
02/28/2005	24.03
03/02/2005	27.10
03/21/2005	14.75
03/23/2005	16.35
04/13/2005	34.54
04/18/2005	35.21
04/27/2005	21.82
05/05/2005	39.39
05/09/2005	31.54
05/11/2005	28.05
05/16/2005	33.82
05/19/2005	52.85
05/23/2005	6.99
05/30/2005	12.98
06/01/2005	8.47
06/06/2005	14.95
06/13/2005	31.96
06/16/2005	20.58
06/21/2005	24.13
06/28/2005	30.19
06/30/2005	33.50
07/06/2005	11.77
07/11/2005	19.47
07/13/2005	33.67
07/20/2005	22.13
07/21/2005	59.79
07/25/2005	48.68
07/28/2005	19.40
08/01/2005	31.12
08/04/2005	26.69
08/09/2005	25.82
08/11/2005	36.50
08/18/2005	46.22
09/19/2005	4.75
09/26/2005	10.84
09/29/2005	23.94
10/03/2005	24.38
10/10/2005	24.82
10/19/2005	12.80
10/24/2005	20.26
10/31/2005	10.26
11/07/2005	34.59
11/14/2005	25.89
11/21/2005	20.46
11/30/2005	68.79
12/05/2005	12.00
01/30/2006	14.69
02/15/2006	15.88
