date	Al	Si	P	S	Cl	K	Ca	Ti	Cr	Mn	Fe	Co	Ni	Cu	Zn
6/11/1999	0	2.235	0	0.686	0	0.766	0.787	0.354	0	0	3.289	0	0	0	0.072
6/15/1999	0	0	0	0.97	0	0.436	0.549	0.225	0	0	1.736	0	0	0	0.081
6/18/1999	0	0	0	0.9	0	0.612	0.534	0.218	0	0	1.862	0	0	0	0.052
6/24/1999	0	2.509	0	1.223	0	0.85	0.703	0.246	0	0	2.607	0	0	0	0.092
7/3/1999	0	1.059	0	0.78	0.394	0.211	0.098	0.071	0	0	0.731	0	0	0	0
7/17/1999	0	1.42	0	0	0.351	0.478	0.534	0.197	0	0	2.002	0	0	0	0.035
7/20/1999	0	1.771	0	0	0.407	0.801	0.597	0.457	0	0	3.95	0	0	0	0.039
7/22/1999	0	4.357	0	0.618	0.639	0.295	1.125	0.092	0	0	4.434	0	0	0	0.105
7/28/1999	2.551	2.256	0.239	1.757	0	0.787	0.942	0.372	0	0	2.748	0.021	0.014	0.024	0.113
8/5/1999	2.678	2.179	0.119	0.808	0.084	0.71	0.914	0.433	0	0.042	3.205	0	0.014	0.021	0.056
8/9/1999	2.474	2.438	0.084	0.885	0.042	1.048	0.85	0.415	0	0.042	2.915	0.028	0.014	0.014	0.063
8/21/1999	2.523	1.202	0	0.394	0.14	0.464	0.541	0.26	0	0.063	1.532	0	0	0	0.056
8/28/1999	2.783	2.144	0.119	0.626	0.077	1.027	0.871	0.464	0	0	3.071	0	0	0	0.042
9/2/1999	3.739	2.825	0.134	0.541	0.197	1.202	1.202	0.647	0	0	4.47	0	0	0.014	0.05
9/11/1999	0	0.386	0	0.471	0	0.183	0.113	0.028	0	0	0.401	0	0	0	0
9/26/1999	4.102	2.328	0.143	1.24	0.057	1.126	0.735	0.611	0	0.105	3.24	0	0	0.021	0.05
10/5/1999	1.643	1.803	0.093	0.798	0	0.458	0.479	0.26	0	0	1.637	0	0	0.013	0.046
10/13/1999	2.601	1.912	0.148	1.672	0	0.963	0.633	0.225	0	0.035	2.108	0.021	0	0.035	0.063
10/21/1999	1.069	0.942	0.053	1.167	0	0.386	0.449	0.134	0	0	1.181	0	0	0.021	0.113
10/28/1999	1.574	1.117	0.127	2.171	0	0.045	0.239	0.148	0.042	0	1.42	0	0	0.028	0.05
11/14/1999	0.33	1.117	0	2.171	0	0.045	0.239	0.148	0	0	0.351	0	0	0.014	0.042
11/15/1999	0.757	0.886	0.518	0.816	0.057	0.167	0.308	0.137	0	0.028	0.703	0	0	0	0.03
11/23/1999	0.409	0.474	0.054	0.21	0	0.186	0.108	0.08	0	0	0.362	0	0	0	0
12/1/1999	1.619	1.787	0.124	1.197	0	0.313	0.433	0.225	0	0.032	1.261	0	0	0	0.033
12/9/1999	0.53	0.621	0.099	0.557	0	0.093	0.22	0.098	0	0	0.535	0	0	0	0.18
12/17/1999	1.467	1.683	0.152	1.04	0	0.318	0.511	0.199	0	0	1.552	0	0.012	0.014	0.06
